signal_1,signal_2,signal_3
0.12391513288800829+0.48439861926479333i,0.00481624669338516+0.020701627884598908i,0.0001320936672156825+0.0005628669312642285i
-0.44468307977885874-0.22859683547092452i,-0.01905074094496025-0.010295888452020053i,-0.0005267050117954521-0.0002896657923902719i
0.4660386538562458-0.1811268896209558i,0.020763400842538703-0.0075575964946054865i,0.0005696339035210886-0.00021639113625244893i
-0.17360512495154132+0.46889084119460295i,-0.00824340048047636+0.02098460072233889i,-0.0002275936849811716+0.0005708632183495228i
-0.23572025944870692-0.4409486831649535i,-0.010419630266592577-0.020438288876743416i,-0.00028966024485039844-0.0005697909127583618i
0.48633081352347024+0.11610516258844827i,0.02264761437103745+0.005885927430742708i,0.000622056964708095+0.00015329340469942549i
-0.40948927426962334+0.2869090154644296i,-0.019754988427650267+0.013323066931655157i,-0.0005450232534267887+0.000360008532683816i
0.05693183575739766-0.4967479514494758i,0.0032017181707948545-0.02401725306116093i,0.00008509230393716957-0.0006693879089328085i
0.33395745534835+0.3721151096920069i,0.016161401271764794+0.01867391524811551i,0.00044397131893803373+0.0005052929319500359i
-0.49998973201085056+0.003063409906883672i,-0.025097943973135372-0.0002542515456722647i,-0.0006928668539905692-0.000014015206106409436i
0.32937090583133993-0.3761838396895303i,0.017139298118750687-0.018904631631946365i,0.0004689330962562976-0.0005296541236773568i
0.06301674788561706+0.496009967273251i,0.0028611099037801828+0.025818605668903254i,0.00007802765775487734+0.0007021826717781732i
-0.41297549393799615-0.28187030447573136i,-0.02154613278335649-0.01518590774365641i,-0.000595870673798672-0.00042569117708607954i
0.4848710210550397-0.12206105940263269i,0.02608837211491227-0.006125510138989754i,0.0007157495395984918-0.00017861667651000065i
-0.23029735320082736+0.44380248605995815i,-0.01288291400479921+0.023994824760257678i,-0.0003555615514680057+0.0006522305988947263i
-0.17933982757698053-0.466730137869678i,-0.009540065547450039-0.02590944325471606i,-0.0002659545445609806-0.0007218209406181423i
0.4682238986656809+0.17539741889849916i,0.026134349242974156+0.010221154396047077i,0.0007176053204341983+0.0002709871237413146i
-0.4418475113707099+0.2340282496496807i,-0.02531818247447478+0.013012172978840357i,-0.0006984145599482561+0.00034999975610343115i
0.11796797849204191-0.48588402345096515i,0.007173269573967354-0.02794151313451813i,0.00019387028498610428-0.0007788249254476558i
0.28533988180826264+0.4105828517308052i,0.01641787543443061+0.02426807176480534i,0.0004506451061495411+0.0006576275221449869i
-0.4965256089614826-0.058835142095794137i,-0.029424541088436274-0.003813588630520385i,-0.0008122123406256943-0.00011336345357915787i
0.37339267499199796-0.33253162457896057i,0.022693533691502926-0.019725219003441034i,0.0006212129697571043-0.000553661120235324i
0.001149549479070755+0.4999957261915301i,-0.00025285665780206887+0.030501445987794338i,-0.000007986301236618604+0.0008294172879574794i
-0.3749189023338139-0.3308103710947278i,-0.02292947678123042-0.02063603209215256i,-0.0006342290895196982-0.0005769560167727797i
0.49624906308113875-0.0611187054069727i,0.031067474697914387-0.003489393421386214i,0.000852135124527169-0.00010753668262291161i
-0.2834490365865837+0.4118911702671542i,-0.018176123458430712+0.02592646435068721i,-0.0005014186394209344+0.0007037736416333237i
-0.12020226268118797-0.4853361883380496i,-0.007416809757266415-0.031127074442596717i,-0.0002079031711180967-0.0008665382997261144i
0.4429185885025356+0.2319931258078441i,0.02858339729556439+0.015301979783744729i,0.0007843494172808428+0.0004092238410855735i
-0.4674128695021333+0.17754955458099136i,-0.03072338887420199+0.011423994611397939i,-0.0008471987775283537+0.0003048094770368678i
0.17719049748052282-0.4675502228220345i,0.01198086898840314-0.030876054426316434i,0.0003256031639450691-0.0008606111593247672i
0.23233553896507686+0.4427383457984809i,0.015370449139987256+0.02980302067839786i,0.0004212783582792774+0.0008082035882656248i
-0.48542799569833167-0.11982919420912201i,-0.03281570275230819-0.00829722172279343i,-0.0009054805788299441-0.00023796640963380996i
0.4116739670344027-0.2837671490535494i,0.02829104914557583-0.019222102405061933i,0.0007744442041842354-0.0005408830447172616i
-0.06073532714379029+0.49629461967845045i,-0.004375968613795343+0.034309853841589244i,-0.00012172873457791877+0.0009323911910905014i
-0.3310983801650651-0.3746646395405583i,-0.022975526198586935-0.0262348802506247i,-0.0006355177763361673-0.0007318951041835075i
0.4999978559616063+0.0007632555699186409i,0.03524074654459072+0.00023742444910513234i,0.0009660015533828884-0.000006264281211748933i
-0.33224303068230965+0.3736474926492168i,-0.023725198478786128+0.02651422384586871i,-0.0006540411564808841+0.0007182210548953787i
-0.05921673505421984-0.49648078849455546i,-0.004124007344275887-0.03561450780034856i,-0.0001175991011948946-0.0009905863667617567i
