signal_1,signal_2
0.6343633469839572+0.0004504695786545551i,0.3147280302236227+0.00022399421937701982i
0.6541913431260585+0.00025585302333341257i,0.32047028614791495+0.0001260458332286821i
0.6526640259007324+0.0006478356768935161i,0.3156397917431004+0.0003137155127674599i
0.6889253822986798+0.000017389662782092517i,0.32888165889973786+0.000009239176353813804i
0.6617161068019125+0.0006151338036279053i,0.3117561071988107+0.00028981343245508816i
0.7186754750518214+0.000025987311882117666i,0.3341137584852851+0.000012760787239191929i
0.7445562251217721-0.000050418914543435784i,0.34149132753494543-0.00002326209889249036i
0.7258986276191615-0.00019730662387703254i,0.3284146974434758-0.00008878880374350143i
0.7648098083565237-0.0001336952552161828i,0.34125783707997814-0.000059290215326212295i
0.7132198844852982+0.000013555997272130106i,0.3138189994965007+0.000006504759103668535i
0.7749176251719746+0.00029024948412278534i,0.33618362420293824+0.00012665348475002848i
0.7319914049488205+0.00009655414197456474i,0.313055086615202+0.00004168155821685454i
0.7884376191072425+0.00016344922037096253i,0.33236877291330014+0.00006921486682536345i
0.7726945618359469+0.0002347419901190104i,0.3209977950971535+0.0000975365055064834i
0.7318313835700111+0.0005017818960525786i,0.299562141134722+0.0002052154576481721i
0.7859802374595348+0.00023044655176872485i,0.3169296605516958+0.00009306872651155389i
0.7434203263540324+0.0004009338617701647i,0.2952583125385616+0.00015931015883150954i
0.7751290727481519-0.000006749298590249461i,0.30315792011333803-0.0000019910813223016616i
0.7401357887830862+0.0002613354555254926i,0.28501985934811636+0.00010120585814648048i
0.7573192714284518+0.00004310444607560778i,0.2871086980911026+0.00001682384244932333i
0.7417422198225408+0.00015097364195199383i,0.2767895195329419+0.00005682897309766022i
0.7562215707508639+0.0001963641937167836i,0.2777272726651085+0.0000717045731275481i
0.7628287510090346+0.00013017989732773711i,0.275655663390626+0.000047178064321430514i
0.7723073015426786-0.0002310735561236348i,0.27456238845959613-0.00008308974537679419i
0.71818204562353+0.00014988562473540698i,0.2511201504026566+0.00005258811658279043i
0.8013478337582057+0.00017702481871873082i,0.2755533755573583+0.00006039760003388063i
0.761745842088202+0.0006502906652967351i,0.25753442606173743+0.00022029936189560794i
0.8120590129206027+0.0002321014666397658i,0.2698953409237592+0.00007744604182376264i
0.7963677169283324+0.0007028639051251023i,0.2601571067007308+0.00022979621465992552i
0.7860962200174819+0.0006743319290719304i,0.2523691971596219+0.00021697470782405624i
0.7994753653453498+0.0005295005141570894i,0.252202701353642+0.0001664302746314826i
0.7590448537575936-0.00011900194946313213i,0.235227521224908-0.000036599831930611666i
0.8426863607221808+0.00012929299083428092i,0.2565118717116575+0.00003824942825857416i
0.7667179014782745-0.0004458628876273494i,0.22917850019521446-0.0001330075964160258i
0.8059152941138407+0.0003815889139440967i,0.2365211270735534+0.00011130181050024427i
0.8029664240163829+0.00040646282879317825i,0.2313209539108621+0.00011745600506644341i
0.7969128502289614+0.000647581668590248i,0.22532563032256792+0.00018311256801011903i
0.7964349728186427+0.00018209234433421388i,0.22098413607667375+0.00005056009838867322i
0.7688590423716737+0.00024585453567825213i,0.2093120297507702+0.00006727497652529862i
0.7583541328816049+0.0002145925178339388i,0.20253671244657315+0.000056689795172057105i
0.7258436100936989-0.0005732341345248995i,0.1901294310106136-0.00014986795158823766i
0.7449989264382214-0.0005390741567542168i,0.19137485619555297-0.00013950233674117122i
0.7627588361984144-0.00013023169681585935i,0.1920928138605271-0.000032624932960433306i
0.7403645837613673+0.0002962255002242254i,0.18277332280809866+0.00007222659834112911i
0.717143509009795+0.000073707419237477i,0.17350320218770707+0.000017838136210074342i
0.7374865228904443+0.0001378674591867834i,0.17483913587951044+0.000032189995449022995i
0.6697714166235859+0.0009504451300803365i,0.15556874600340176+0.0002204911258416661i
0.7182824147203455+0.000051496848137568867i,0.1634303975868569+0.000011601036143298632i
0.6595294322482778+0.0005080377677531894i,0.14698151448712338+0.00011259064496323925i
0.6979358033610737+0.00023799710142300478i,0.15231042583749957+0.00005200529052217796i
0.6476677948809806+0.0007587998097213029i,0.1383891256266485+0.0001612194686197762i
0.6868446512064788+0.00009540124582913075i,0.14365376036135208+0.00001996045262010062i
0.6946786595377359+0.000040463013807253886i,0.1422006019384893+0.0000072461240473657756i
0.6475672315225212-0.00033058427860453514i,0.12970364959233202-0.0000664048868204123i
0.6801882881587766+0.00007167196912687583i,0.13329040707067627+0.000013351088232892241i
0.6347394252688121-0.00033553824355321213i,0.12167372156142506-0.00006467581419516974i
0.6636608487494351-0.0002583708171212009i,0.1244273175750711-0.000048634323660763185i
0.6570198368348499-0.00038335098253646177i,0.12046726297668567-0.00007078244037625625i
0.6829468253939226-0.00034624546655545813i,0.12243282223724056-0.00006201097798276427i
0.6678126097246084-0.00044504038781075113i,0.11704192065605795-0.00007862502980699945i
0.6578664433199959-0.00031737037218526506i,0.11268709666684415-0.00005438025055360423i
0.6823096311653805-0.00020416625250564973i,0.11421534464941009-0.000034819838552515436i
0.700795376866083+0.00012958442441564008i,0.1146119785521382+0.000021051501489750916i
0.686258997905405+0.0007044509447803276i,0.10964346748942651+0.00011214448091690092i
0.7298114811306279+0.0004225859948424701i,0.11389185089246351+0.00006580340884240071i
0.7100717724595312+0.00036733013892250845i,0.10822171695674265+0.00005589163482011621i
0.721444704869293+0.0010564115145838945i,0.10737596346654406+0.00015706912965118353i
0.7479236920362387+0.0004171533521114717i,0.10868105968643792+0.00006067939893834896i
0.7195044739424702+0.0003629424645987661i,0.10206840199257329+0.00005123081489900365i
0.7557101925758043+0.00009893719989037779i,0.10462694596341049+0.000013753737627355367i
0.6861136673085464+0.00042039463380391136i,0.09270111879035377+0.00005656419807120812i
0.7990537532526443-0.00006202181732770838i,0.10532938911377698-0.000008136217016428072i
0.7527053426025826+0.0005582290127625315i,0.0967952185985151+0.00007171265690716876i
0.8101467414842614+0.0003930015777683173i,0.10162025784968924+0.00004932450698977168i
0.8037406227744842+0.0006408819069269314i,0.0983262753756757+0.00007851565250912504i
0.7764446808944515+0.0004090793322472701i,0.09263434614722063+0.000048773715084903884i
0.7852980540086083+0.0002472442380691165i,0.09134943226492391+0.000028903988753069753i
0.773121238402798-0.00012404633518191445i,0.08768188449359886-0.000014165862661129804i
0.8091135366916636-0.00025532824620463836i,0.08943943364000745-0.000028135918160724256i
0.7894333546490222-0.001019209807762368i,0.0850497219834744-0.00010988225107990631i
0.8082344877388657-0.00012819664625880083i,0.08484259949806075-0.000013404904555983885i
0.8392720290734792-0.00022254417426849777i,0.08583742806727873-0.000022726626953523042i
0.8323531998210383+0.0001861298747722599i,0.0829302098664481+0.000018588107908012355i
