time,signal
0,1+0i
1e-07,0.862000880821733-5.84120912731073e-05i
2e-07,0.995868778461956+4.38760390882431e-06i
3e-07,0.940082709377917-3.68897174984594e-06i
4e-07,0.961413914225575+6.15768813022919e-05i
5e-07,0.935591949322157-9.45730759073533e-05i
6e-07,0.91030201052211+3.80101901382012e-06i
7e-07,0.880010244844251-0.00152339424034173i
8e-07,0.876067003203493-7.02805771768179e-05i
9e-07,0.87934050473159-0.0017741200167728i
1e-06,0.86269919263242-0.000322285089058027i
1.1e-06,0.898004723455224-8.67994014559596e-05i
1.2e-06,0.865807664886261-0.00073457655801223i
1.3e-06,0.863543312088499-0.000493355825272696i
1.4e-06,0.84314433750875+1.88719018993939e-05i
1.5e-06,0.783743672562761-0.00260878618423671i
1.6e-06,0.760390194805468+0.000418359626457525i
1.7e-06,0.707799088655758-0.00200659613769799i
1.8e-06,0.675740862252219-0.00122313457245798i
1.9e-06,0.659245543418772-0.000135668128147922i
2e-06,0.628134866938099-0.00121004508421701i
2.1e-06,0.614465919039583+0.000127242202250392i
2.2e-06,0.583399462291667+0.00105966276643681i
2.3e-06,0.55330678739336-0.000853710595687032i
2.4e-06,0.530126570425611+0.000773235869841435i
2.5e-06,0.495196369707909-0.00187857266860762i
2.6e-06,0.492459341290326-0.00104396734419378i
2.7e-06,0.463078258142522-0.00128927778638421i
2.8e-06,0.465919627481924-4.78959046638966e-05i
2.9e-06,0.450882378966376+0.000197743255371143i
3e-06,0.439288271724797+0.00117797003456268i
3.1e-06,0.433677297386636-0.000356096209391144i
3.2e-06,0.412115339566713+0.000429078038390094i
3.3e-06,0.396637211974463-0.00133934556086758i
3.4e-06,0.379879569179126+1.92479674566516e-05i
3.5e-06,0.36768603407991-0.000581959504852789i
3.6e-06,0.355930293211306-3.11303875947963e-05i
3.7e-06,0.359038918653317-0.000103993671142189i
3.8e-06,0.345003356054858-0.000244164027650681i
3.9e-06,0.337895333007446-0.000128212181057737i
4e-06,0.330663907850317-6.31995881870339e-05i
4.1e-06,0.302485961553989+0.000451508670108755i
4.2e-06,0.305236945788263+0.000135472514771643i
4.3e-06,0.28118051060752+0.000340032143812639i
4.4e-06,0.279443802717807-0.00020683506249371i
4.5e-06,0.269606343270667-0.000492837725903816i
4.6e-06,0.261045196119943-0.000264353637728631i
4.7e-06,0.251930922839641+0.000100126423989485i
4.8e-06,0.247683335698977+5.36123902643786e-06i
4.9e-06,0.232518856391219+0.00113401887419513i
5e-06,0.230517013684943+0.000169401844812176i
5.1e-06,0.215543952137189+0.000375081943678966i
5.2e-06,0.211216622284668+0.000291830169463109i
5.3e-06,0.201147236690607-0.000669121480969119i
5.4e-06,0.197758285684459+0.000210960298467546i
5.5e-06,0.188689069320361-0.000190679986313523i
5.6e-06,0.184057589608189+1.23729851091435e-05i
5.7e-06,0.175515050355324+0.000552867852397572i
5.8e-06,0.16535710894333+8.27121840495479e-05i
5.9e-06,0.161717769336057+0.000144177418771852i
6e-06,0.150642433119762+9.74014313320701e-05i
6.1e-06,0.149553614929525-0.000462543115614832i
6.2e-06,0.141581284631425-1.35486576109943e-05i
6.3e-06,0.138131112455245-0.000184724060373663i
6.4e-06,0.131348294074569+2.11216807751962e-05i
6.5e-06,0.126824950657436+0.000219127588776606i
6.6e-06,0.12091444989764-5.08125256150548e-05i
6.7e-06,0.114303121321784+4.71369710458817e-05i
6.8e-06,0.111715606943456-7.76059451517304e-05i
6.9e-06,0.101410515117358-0.000137563086519652i
7e-06,0.100373423947073+8.49412022774548e-05i
7.1e-06,0.0912779610763372-9.26020654019917e-05i
7.2e-06,0.0880036580101939+0.00011767159884133i
7.3e-06,0.08275874693155-3.48415012037445e-05i
7.4e-06,0.0784445880101476-2.31833009360296e-06i
7.5e-06,0.0725513167823391+5.43573428982289e-05i
7.6e-06,0.0699285027846455+5.67707961260039e-06i
7.7e-06,0.0634408448782944+9.49906873066835e-05i
7.8e-06,0.0620948094905115+3.88160231803318e-05i
7.9e-06,0.0582627552330698+4.23390204523568e-05i
8e-06,0.0559588756339153-1.47498033748149e-05i
8.1e-06,0.0530395467029584+3.48854967681434e-05i
8.2e-06,0.0507717169932089-8.90436664010113e-06i
8.3e-06,0.0471223770591301+8.56666924572923e-05i
8.4e-06,0.046323408938359+1.28423282222846e-05i
8.5e-06,0.0435579861397824+9.47535242982552e-05i
8.6e-06,0.042207203442464-1.46892065632692e-05i
8.7e-06,0.0409416656668363+5.57428117360323e-05i
8.8e-06,0.0382760612122748-4.92133344617869e-06i
8.9e-06,0.0372020997428409-9.78161947118763e-06i
9e-06,0.0351928384234725+3.12489917234086e-05i
9.1e-06,0.033338792565008-1.3214987129663e-05i
9.2e-06,0.0323754171979158+3.33317589812349e-05i
9.3e-06,0.0301839347525134+4.42638535011262e-05i
9.4e-06,0.0295318555454309+2.28408305992217e-05i
9.5e-06,0.0279126441812129+2.56383027331278e-05i
9.6e-06,0.0274559652321491+3.51875962429996e-07i
9.7e-06,0.0263532158378609-2.14222481675537e-05i
9.8e-06,0.0257778227265894+1.53150161244195e-05i
9.9e-06,0.0252215187210111+1.30653875212918e-05i
