time,signal
0,1+0i
1e-07,0.878608889719126+4.57668529782055e-06i
2e-07,0.998352210529354-7.43067020542404e-07i
3e-07,0.959469659911885+5.72399136935521e-07i
4e-07,0.986225829794233-6.10785089150833e-06i
5e-07,0.975972981350913-1.01791798840241e-05i
6e-07,0.970543114049903-2.3292602416914e-05i
7e-07,0.939730382442577+9.50293769852921e-07i
8e-07,0.955246301575532-4.9325019616235e-05i
9e-07,0.948260163298906+9.95961478903873e-06i
1e-06,0.947972311434228-5.51118280170203e-05i
1.1e-06,0.982974362030901+5.21135669171076e-06i
1.2e-06,0.970397263920392-2.57224536075142e-05i
1.3e-06,0.985389643388061-3.40340613184172e-06i
1.4e-06,0.992188038854192+3.40039736767542e-06i
1.5e-06,0.959737925560322-3.09037664970227e-05i
1.6e-06,0.965576718003479-1.11209630627167e-05i
1.7e-06,0.947941507493299-4.93059559737928e-05i
1.8e-06,0.942040611124518-3.27563712472068e-05i
1.9e-06,0.971564412686659-2.35491192215425e-05i
2e-06,0.963531942717681-1.83963069040168e-05i
2.1e-06,0.990450564975134+1.17413285798782e-05i
2.2e-06,0.979389249007914-1.27279233295251e-06i
2.3e-06,0.968315112779315+4.66507312967065e-08i
2.4e-06,0.967288790458451+1.84922396815678e-06i
2.5e-06,0.933838363301132-4.62290825761452e-05i
2.6e-06,0.965255111558334+1.53852557438221e-06i
2.7e-06,0.931935917318923-6.31649305492941e-05i
2.8e-06,0.971480025096052+5.89852683285096e-08i
2.9e-06,0.961331860161303-3.35390779022169e-05i
3e-06,0.96772411097959-8.89295199823157e-07i
3.1e-06,0.98189625708184-6.81698403467013e-06i
3.2e-06,0.962413315552666-6.38101905277502e-06i
3.3e-06,0.960888929607113-4.17475349888329e-06i
3.4e-06,0.944926449294915-7.67723406044955e-06i
3.5e-06,0.945644468316183-7.28896723264384e-07i
3.6e-06,0.937342981307843+6.89152634274906e-06i
3.7e-06,0.976339125728068+1.18256145854713e-06i
3.8e-06,0.965692034244935+1.21201013831149e-05i
3.9e-06,0.980392986046247-3.46282397762579e-06i
4e-06,0.990667738833303+5.84202980752492e-06i
4.1e-06,0.937387240704539+1.9068620905397e-06i
4.2e-06,0.980459737223651+7.84877532413416e-06i
4.3e-06,0.934405533258106+8.87148040212721e-06i
4.4e-06,0.965506929786598+7.10239500620814e-06i
4.5e-06,0.965317993137357-4.01294033770124e-06i
4.6e-06,0.968592761489129+8.01470632330468e-06i
4.7e-06,0.967404545441546-4.9360372624808e-06i
4.8e-06,0.985646449160127+1.32614738488167e-05i
4.9e-06,0.956165575068771+2.32070178435872e-05i
5e-06,0.982341391625106-6.43124853227454e-06i
5.1e-06,0.947973441710495+2.74519633932958e-05i
5.2e-06,0.959317605236099-2.94238080096828e-05i
5.3e-06,0.946454248760384+6.60635841605756e-06i
5.4e-06,0.964798331749639-5.1670496446861e-06i
5.5e-06,0.960547708495802+6.81081444557468e-06i
5.6e-06,0.979078511656237+4.35630984937458e-05i
5.7e-06,0.975335939516668+7.76405872688284e-06i
5.8e-06,0.954172897925051+5.22609991817204e-05i
5.9e-06,0.97228350273379+1.93883845009528e-06i
6e-06,0.930850039493758+1.75134475993026e-05i
6.1e-06,0.968434307776637+8.91616070518235e-06i
6.2e-06,0.946556754898152-1.15328103260882e-05i
6.3e-06,0.97187615510339+2.64887226749282e-05i
6.4e-06,0.95976126071133-9.95543062558617e-06i
6.5e-06,0.96963941308643+3.15853367269917e-05i
6.6e-06,0.963412782147456+2.671856909251e-06i
6.7e-06,0.951560601127751+1.10219085571213e-05i
6.8e-06,0.979223473704786-3.63581309029911e-07i
6.9e-06,0.932370662533957-2.72472555544555e-06i
7e-06,0.980936185976212-3.56059281807002e-06i
7.1e-06,0.943499423298545+1.91728201695174e-05i
7.2e-06,0.967756082346237-2.35722405130587e-06i
7.3e-06,0.96933609334003+3.08723125751427e-05i
7.4e-06,0.974435158444551-7.46716159872418e-06i
7.5e-06,0.956683616971164+1.51682533364133e-05i
7.6e-06,0.980943265847444-2.1997481767596e-06i
7.7e-06,0.93697321845927+9.31044906925155e-06i
7.8e-06,0.97611553516659+1.90229358386042e-05i
7.9e-06,0.960475582702248+1.05491580281279e-05i
8e-06,0.974415301783789+1.43339175832045e-05i
8.1e-06,0.968009360116653+1.01621789441963e-05i
8.2e-06,0.977490117845839-5.76061993390931e-06i
8.3e-06,0.944733559252936+2.01931859368329e-05i
8.4e-06,0.978732790623195-5.3988009434601e-06i
8.5e-06,0.952887781740627+2.48061978418421e-05i
8.6e-06,0.963798748548033+5.42381434794312e-06i
8.7e-06,0.977094207233714+7.03629056426709e-06i
8.8e-06,0.948996948092149+1.00118685131742e-05i
8.9e-06,0.970354724921983+9.76800103416867e-06i
9e-06,0.96336382895028+1.66408954105819e-05i
9.1e-06,0.950747151899531+4.33172228437057e-05i
9.2e-06,0.976398067497396+1.12488484452987e-05i
9.3e-06,0.941420268208246+6.30203633212143e-05i
9.4e-06,0.96762532931304-1.01836028358593e-06i
9.5e-06,0.94752469585473+4.36323253161132e-05i
9.6e-06,0.971521404301312+1.05878198260752e-05i
9.7e-06,0.957828021213271+1.63306545191308e-05i
9.8e-06,0.967250720007838+4.74289924500538e-05i
9.9e-06,0.960899754271907+2.50666575188584e-07i
