bath,methyl_5_6_7,methyl_8_9_10,methyl_17_18_19,methyl_20_21_22,methyl_106_107_108,methyl_113_114_115,methyl_119_120_121,methyl_126_127_168,methyl_128_129_169,methyl_130_131_132,methyl_140_141_142,methyl_152_153_154,methyl_147_148_149
0.968237876465335+4.60547792967958e-05i,0.98181053887821+3.69393213475143e-06i,0.992109695726362+6.3557636415082e-05i,0.995384318806219-4.86117608757998e-06i,0.99092745025935-1.61468707659959e-05i,0.997407197556865-9.52231411086367e-06i,0.99967482595564-1.33024161407811e-07i,0.993802939769071-7.85094223593139e-05i,0.999838283487756-4.55827501365118e-07i,0.99979126185444+4.05535149165422e-07i,0.999409608825598+6.83653956171176e-07i,0.999830226657669+5.24901071567201e-07i,0.999368107421212-4.63488417743537e-06i,0.999606411302192+2.54149834511001e-08i
0.987120145892507-3.66329905897575e-06i,0.996529260885634-2.52856577030978e-05i,0.99851572591539+1.51829931706902e-05i,0.990507729379642+2.56765127874068e-05i,0.998698569497935-2.52525857743364e-06i,0.998897067141443+1.02602325882449e-06i,0.999639479775114-4.62056797583452e-10i,0.997655871227433-1.70210484879349e-07i,0.999951421911894+1.64588310682454e-08i,0.999926609046851+2.42495135916554e-09i,0.999714934466714+8.03812959903243e-08i,0.99985467447884+5.86817736118642e-09i,0.999413025234292-5.33177168830965e-08i,0.999987684351349+9.17100744709573e-10i
0.976108614819036+2.34649862081886e-05i,0.985143437728182+5.54675521721213e-05i,0.997239947222894+1.25130844578827e-05i,0.995420178480514-7.29642378106305e-06i,0.996761302483858-1.5602576723958e-06i,0.997892101366147-1.87018678226227e-06i,0.999452816672055-1.07767275857134e-07i,0.994783767267368-3.4748853482895e-05i,0.999851836514972-2.8527553195678e-07i,0.999800089619211+3.48680179123906e-07i,0.999380267546551+4.06041203010995e-07i,0.999759945975772+3.8848296070789e-07i,0.999101038193891-2.11459875251269e-06i,0.999743557038406+2.32412809269651e-08i
0.980985721182681+5.94677708079144e-06i,0.991267402486475+4.15292378752563e-05i,0.998740982488581+6.18432650588187e-07i,0.997777223297015-4.11019800596665e-06i,0.998188399896792+4.30729288291053e-06i,0.998269877621668+2.74997035912034e-06i,0.999308026057131-2.12207019618062e-08i,0.99586583213317-4.88930279264369e-06i,0.999889771065169+1.46930770387024e-08i,0.999841446632114+8.05499760385173e-08i,0.999451551453477+3.60245428008911e-07i,0.999717950746306+6.4528410038297e-08i,0.998956684964705-4.36271195902367e-07i,0.999926031730739+7.84255664742345e-09i
0.977767284921783-3.91800728826879e-06i,0.997551008138958-2.92052884802547e-06i,0.997849870141125+8.43314480559155e-06i,0.997632136242154-1.95568966029409e-06i,0.998671956098188-1.0750794595025e-06i,0.997854620465268+3.92409186797008e-06i,0.99908170716056-3.48140373859271e-08i,0.995082611608194+4.52268656185494e-06i,0.999850930184634+1.03814974863836e-08i,0.999788042304863+1.31648727819849e-07i,0.999295117703487+5.17904819979008e-07i,0.999623705774697+1.01938512137009e-07i,0.998668092463111+3.13619314310237e-07i,0.999896168941026+1.16733461902755e-08i
0.966932731073213+2.69436108542439e-05i,0.987876810778971+0.000185381521792331i,0.998047216080276+7.85218976144378e-06i,0.980127284066493+2.27062372912791e-05i,0.996733349951329+1.22806111127175e-07i,0.997114325039628+3.48033136120868e-06i,0.998791710376241-1.15341450595084e-07i,0.992915773435982-4.07241140056958e-05i,0.999773005978579-1.79234785663631e-07i,0.999686411613599+4.02832053598524e-07i,0.999023736850469+1.00490308518989e-06i,0.999495692005466+3.79300439470022e-07i,0.998295885861646-2.54295421800725e-06i,0.999766451725038+2.88850718346419e-08i
0.964557304904016-2.359762493835e-05i,0.981369286356023-8.8473544447769e-05i,0.992569064983578+7.16251237151081e-05i,0.999387013711751+1.20494691417057e-06i,0.996493943395572-2.30346061451008e-05i,0.996791409528493+1.7494497073971e-06i,0.998499399846216-1.64370383796694e-09i,0.993604731657597-1.0224446934608e-05i,0.999792882741553+8.56043923065011e-08i,0.999703541983819-9.38821281323174e-10i,0.9990434340235+3.45014749265836e-07i,0.999380979523482+4.81529385053204e-08i,0.997996268739823-3.99685195316565e-07i,0.999954374334624+2.35446130101231e-09i
0.954679995041922+4.07888588037612e-05i,0.988161073860813+5.71348766902571e-05i,0.997406102493941+2.14463152396576e-05i,0.969468243735797+9.60145884524002e-05i,0.994079310868548-1.43167790367018e-05i,0.995746376094238+9.72629649576757e-07i,0.998067249987548-2.63856549748208e-07i,0.990058675390768-7.12473048566608e-05i,0.999621213249311-4.92764024098284e-07i,0.999487921267006+9.02390128868584e-07i,0.998511675319839+2.07084373970737e-06i,0.999181700797544+8.58127829191791e-07i,0.997466984406453-4.23958698020905e-06i,0.999589401970079+5.99565694677055e-08i
0.94570036464656-3.3774914922742e-05i,0.970902589674969+5.04900917853686e-05i,0.991248470208605+0.000105072053651177i,0.99674995344655-1.46214208142501e-05i,0.994083885280486-3.49516839726632e-05i,0.995455350428735-4.15150048960429e-06i,0.997678904949602-2.10388326386203e-08i,0.991653949956502-3.74192313986891e-05i,0.999678109231473+1.65051841619887e-10i,0.999550339688435+6.0149341121557e-09i,0.99865145479024+3.47252816982045e-07i,0.999025241775159+2.14241241668049e-07i,0.99713054675749-1.91581084356632e-06i,0.99994112699853-5.78311536326933e-12i
0.947458149468528+1.67900426765781e-05i,0.992605324811062-1.71505387499917e-05i,0.995412031096141+1.03542141834873e-05i,0.983052486875903+2.94698863719821e-05i,0.996559543028658-1.02536063341031e-05i,0.994877804091266+8.03722005210946e-06i,0.997126285526921-3.20033136805624e-07i,0.989099578368649-4.09664753113245e-05i,0.99947459545615-5.00944102382106e-07i,0.999298861175785+1.10785641413351e-06i,0.998056021894692+1.49315987821962e-06i,0.998779152410166+9.70112325774851e-07i,0.996554680365645-2.23328318819986e-06i,0.999539280408119+7.7066617651556e-08i
