bath,methyl_5_6_7,methyl_8_9_10,methyl_17_18_19,methyl_20_21_22,methyl_106_107_108,methyl_113_114_115,methyl_119_120_121,methyl_126_127_168,methyl_128_129_169,methyl_130_131_132,methyl_140_141_142,methyl_152_153_154,methyl_147_148_149
0.73612815620558-7.00430700721836e-06i,0.990556538335949+2.205398585718e-05i,0.993547828298147-2.67561226103212e-06i,0.9898247038704-1.76082103443579e-05i,0.998708333189432-1.75087846453259e-07i,0.982060451855965+2.95091052180662e-05i,0.958501101210217+3.85540568532134e-08i,0.993742654934298+5.24408578503256e-06i,0.98659639110869-6.06863987089578e-07i,0.990286173723322+3.200939736839e-07i,0.9768937326211-4.27663395419398e-06i,0.970235340660135-2.93766798575384e-07i,0.991850009798965-5.46954995948327e-07i,0.99750500867947+2.03776990215531e-07i
0.728952060329841+3.61075904915188e-05i,0.977166861859753+0.000144373511601719i,0.994978405340383-1.68560244236785e-07i,0.977486534405004-0.000368408439103097i,0.998615579209205-1.11611212548593e-06i,0.982813666217556+9.59040874520411e-06i,0.957127963058149-8.59349085082059e-07i,0.991956340857075+1.59350305644194e-05i,0.985630380594436+3.50647864429277e-08i,0.989894114584751-3.1011730986921e-07i,0.975829315493528-3.26024327744777e-06i,0.968275848441395+1.10348228255406e-06i,0.992099889193688+1.24305326029989e-06i,0.997583593552006+9.20000468165897e-09i
0.725430884696348+1.26281359198433e-05i,0.990431050986806-9.47163890616921e-05i,0.995891979421117-1.06099911061707e-05i,0.988111284424422-0.000101713426096552i,0.997650155518538+7.14572757990251e-06i,0.981546311679889+1.62027512411038e-05i,0.955886439920706-1.76135863756198e-07i,0.991759415821844-1.16166233580419e-05i,0.984507526209722-1.32133265169435e-07i,0.98939170610695-5.12492027481408e-07i,0.974541413261658-3.96411335557941e-06i,0.96631600339898+1.88754496634599e-07i,0.99245673995838-1.0166988186224e-07i,0.997341221990974+6.63596721376401e-08i
0.713840984818686-1.97139771235765e-05i,0.990797025432056-7.47673393018287e-05i,0.989451737481177+1.02440653768275e-05i,0.969293282849999-0.000265475241389168i,0.995101899038636-1.51869082197023e-05i,0.980364311869309+1.31027210844747e-05i,0.954711005081148-6.79550269579618e-08i,0.992712892677484+2.26573112426758e-05i,0.98334836124609-1.97590320868686e-07i,0.988905125913741-3.6351722631819e-07i,0.973272140387303-4.13238780952217e-06i,0.964279934777315+1.0026245635451e-07i,0.992752625379211+8.60062416223994e-07i,0.997142534280001+9.51901482275669e-08i
0.713023048023193+5.15401988662436e-05i,0.970403468053234-0.000255765418264752i,0.997026301728941-3.12571844186453e-06i,0.987908402607187+2.41023027275621e-05i,0.996941165379479+3.48297930173361e-06i,0.980248404778173+4.07104054368863e-08i,0.953587949956837-1.23935970260414e-06i,0.988550686626161-3.32959527030896e-05i,0.982180452003435+6.41155683256072e-08i,0.988463181584442-5.35046675235598e-08i,0.972092903876665-3.39412867841308e-06i,0.962154876174376+1.9492647474773e-06i,0.992907678107754+9.31156994307072e-07i,0.997086177737076+1.15218667650727e-09i
0.696534374196012-4.08705926194922e-05i,0.992185779339234+0.000132051811742435i,0.986383625700227+1.12502979863415e-05i,0.978006841675019+4.82325630747991e-05i,0.992539305096662-2.8398120648318e-05i,0.977735745726535+2.13406655221468e-05i,0.952638022525761+7.85136629890516e-08i,0.991900023206756+7.32944168238761e-06i,0.980831342752118-6.79945507769995e-07i,0.987895478649981+9.1750644134366e-07i,0.97066115943173-6.60340008201553e-06i,0.960045887775419+2.47230703882573e-08i,0.993245012897469+5.6934916275507e-07i,0.996634542113907+2.4813717333214e-07i
0.700444345511741+8.88149945039055e-05i,0.974284337637926-0.000178846745363564i,0.996628328404-1.66480187562708e-07i,0.990710830413423+7.63459596779926e-05i,0.996941970474013-6.14004255475691e-06i,0.978189951753211-1.08346817706169e-05i,0.951670657192937-2.43664811205486e-06i,0.986061330063509-1.44617456719916e-05i,0.979602920968156+1.38173669777913e-08i,0.987506507343374+9.7442779001361e-07i,0.969588293140869-3.20358621416619e-06i,0.957788478493685+3.79187624823439e-06i,0.993215963373631+3.1613427673763e-06i,0.996733378214583+1.25760585027272e-08i
0.688920028522596-2.19348146512274e-05i,0.988576692076834+0.000230787688046148i,0.990043810530985+7.82189744952991e-06i,0.985124028021665-0.000150899724840138i,0.99384929210418-1.33637061967119e-05i,0.975662323218995+3.00798006817035e-05i,0.950953632558499+6.63221708109505e-09i,0.990380538972136+4.72522817891471e-06i,0.978110191566536-9.86768462316941e-07i,0.986917612700409+1.81375320470103e-06i,0.968128137213323-8.11137532979173e-06i,0.955600236613414+1.64092972430904e-07i,0.993567504183612+4.92490033272837e-07i,0.996191471370472+3.23616449926589e-07i
0.688752581269321+8.21043378607897e-05i,0.990321156882967+3.15193240714453e-05i,0.994516504039014-9.07620649625416e-06i,0.991559661972023-1.70542273458058e-05i,0.997080407210985+3.78488740122277e-06i,0.976001282717855-1.23137015483738e-05i,0.950194189656953-2.46267185681626e-06i,0.985650647236404+3.82953590063442e-05i,0.976782370771006+2.33506608514945e-08i,0.986552136222545+9.04408797850083e-07i,0.967117292866938-3.05733271506807e-06i,0.953256396675426+3.87302787169359e-06i,0.993458352213314+6.02120308059359e-06i,0.996342522153311+1.2243368939418e-08i
0.687756627746373+9.32458633602882e-08i,0.992642831940049+5.35202784608523e-05i,0.994280617016387+8.24161496768291e-07i,0.97820836419805-0.00044194534338952i,0.99665691807989+4.89483369891557e-07i,0.974219903480842+2.61088246950456e-05i,0.949689772955828+1.45732035132314e-07i,0.988470393398202+1.09790918275683e-05i,0.975195905762799-7.39515999807884e-07i,0.985997870405541+1.10516799177512e-06i,0.965750377391828-7.87675856910658e-06i,0.950973629251446+5.11174491170883e-08i,0.993734601034713+5.92759993766419e-07i,0.995878548518837+2.27313723594689e-07i
0.675621888754055+2.3711291579737e-05i,0.973941070340957+1.46205729833132e-05i,0.99506275240276-2.3572771605417e-05i,0.990300260711217-1.97228947905309e-05i,0.994748644139374+1.09022693429014e-05i,0.973837967194408-2.17339621405679e-06i,0.9491792241144-1.21112347690552e-06i,0.986235524257925+5.64656268426857e-05i,0.97371050607967+8.68850945606489e-08i,0.985601371078726-2.76138164978536e-08i,0.964705965699011-3.81566929397258e-06i,0.94857559218491+2.14759891138847e-06i,0.993646631383713+6.79639698374359e-06i,0.995909830329645-1.05619019817542e-09i
0.679169974694412+1.16394607510564e-05i,0.994650457883207-4.67804184860056e-06i,0.997025223268829-4.33765483409986e-06i,0.971204491209994-0.000102188283469i,0.9978587460069+4.20119769651304e-07i,0.972588467354433+1.46421193595904e-05i,0.948853216171454-7.67197679841471e-08i,0.985624569329783+9.19234394781785e-07i,0.97205651668616-1.74739201002505e-07i,0.985103091410883-3.26905704451057e-08i,0.963485445246803-6.91032194089815e-06i,0.946186791523151+5.0759875292485e-07i,0.993718323195925+6.19814598340174e-07i,0.995608629821026+6.23503909880278e-08i
0.661841959655828-1.37444177958517e-05i,0.964341211580916-8.00241696143607e-05i,0.993506442633043-9.05206491515389e-06i,0.989944255954158+4.88185152750328e-05i,0.988184057104558+1.08565946500812e-05i,0.971373325556611+1.74532303775535e-05i,0.948610203433182-8.32112106056178e-09i,0.985870021995891+1.83783984161102e-05i,0.970368420202024-2.10280934288298e-07i,0.984630524006271+6.05705233189901e-08i,0.962329711659624-7.07840015357764e-06i,0.94374752192656+3.84993862877833e-07i,0.993702754241598+4.14228147030812e-06i,0.995382888867592+7.30638022041126e-08i
0.663165572546053+3.95509771576975e-05i,0.994320240262876-6.6631350661859e-06i,0.996939073414077+1.51395360764687e-05i,0.976878674097365+0.000263060728604496i,0.998549022528653-1.56739202443878e-06i,0.970126940581024-3.74629127168221e-06i,0.948444585582452-1.27834079060271e-06i,0.982256824912871-1.12112965847087e-05i,0.968650992311106+1.12285550697657e-07i,0.984186948959835+2.21071088681679e-08i,0.961263215151018-4.44697340540003e-06i,0.941263490789158+2.13005472011006e-06i,0.993507166880831+1.87364776693346e-06i,0.995260556357839-4.86166273044704e-09i
0.651534082517288+2.37105784605808e-05i,0.982597443650987-9.21295929506965e-06i,0.990435931640884+2.69793122868363e-05i,0.989820690410356+2.72174536538471e-05i,0.986220994599086+2.77452011669435e-06i,0.96863683968255+3.60215083520637e-05i,0.948466990901416+2.22185564493399e-07i,0.984367419271059-1.59340544910069e-05i,0.96676129660258-9.48259816590039e-07i,0.983643075977287+1.60508505401044e-06i,0.960015151292689-1.15680284101459e-05i,0.938787629056921-2.36756154348596e-07i,0.99357464197028+9.66881430249464e-07i,0.994790409946241+2.38929171897973e-07i
0.650286549651985+7.28224187668619e-05i,0.992551653279455-9.80607609638497e-06i,0.996244390244035+3.0273423122935e-05i,0.985366602361319-4.58025217094974e-05i,0.997469898475586+1.25873638012378e-06i,0.96723793812333-1.62067388571502e-05i,0.948474953601476-2.63743317085316e-06i,0.980223934050346-3.80824923166323e-06i,0.964968367055601+1.79110606838311e-08i,0.983245504872864+7.88877876356217e-07i,0.959088986955561-2.22848639624361e-06i,0.936243272026159+3.67867966603099e-06i,0.993193213006878+5.26894016196446e-06i,0.994821613987097+2.73977543622981e-08i
0.644313596658067+8.42367794720145e-05i,0.981214721614593+7.62695765263698e-05i,0.994170330663225+3.35630085627974e-05i,0.989451315990701-3.7385897699946e-06i,0.989947359786755-5.0527137889989e-07i,0.966119695210308+4.30952370953594e-05i,0.948738269548808+6.17455906596549e-08i,0.983113577666129-1.15228318620121e-05i,0.96292027010307-1.41493294408068e-06i,0.982678875067432+2.69040046950602e-06i,0.957850259382746-1.44475743254147e-05i,0.933734776156109-3.08595882095213e-07i,0.993315376566823+4.2637333891328e-08i,0.994257442502793+3.29618505974101e-07i
0.639864848800192+6.130188328913e-05i,0.992432082215927+3.43227764069591e-05i,0.995480060152914+1.02258976437471e-05i,0.983250201700263-0.000316117233921762i,0.996291250414997+3.54489274937899e-06i,0.964749599543407-1.16628373084917e-05i,0.948947962589235-2.5924020771508e-06i,0.980637111758557+8.19938408041932e-06i,0.961018348803092+1.08065816130298e-08i,0.982301474981592+7.10878480493109e-07i,0.957013870663038-1.73654534724433e-06i,0.931168370067542+3.3250843169765e-06i,0.992917147824877+7.70346398926953e-06i,0.994351256608256+3.18131775498618e-08i
0.636982942496772+8.5603498851344e-05i,0.971042346861856+0.000127152813347654i,0.997297164823404+3.99738444430107e-06i,0.990952522005198+3.27483363874896e-05i,0.995395379858299-4.01522394950325e-06i,0.963972850500159+3.82726491192926e-05i,0.949403808478599+2.64366035557422e-07i,0.982746775984259+6.61301343232506e-08i,0.958861539193219-9.62763151065527e-07i,0.98175833035761+1.87945082924532e-06i,0.955879881343804-1.35050665339018e-05i,0.928631205548507-5.95874705894263e-07i,0.993004273653729+9.31653811700158e-08i,0.993856516842104+2.24979806700695e-07i
0.625195216654773+3.49592438232804e-05i,0.993063364344154-3.41057830279098e-05i,0.99569523796846-5.56779411544709e-06i,0.97462773289132+3.77742525993242e-05i,0.99250774063598-1.87952120844571e-06i,0.962748028403001+1.85707538581358e-06i,0.949831019356357-1.05503014629077e-06i,0.982252895966005+4.46044245419365e-06i,0.956798873415116+2.01816395251639e-07i,0.981351429929239-5.5294918162369e-08i,0.955042792059469-3.80673744265647e-06i,0.926064016702808+1.21526333326097e-06i,0.992717988148558+5.68835495144779e-06i,0.993853355916108-9.16456790364361e-09i
0.628319718397576+4.52993223653217e-05i,0.982124636482034+9.68855303623261e-05i,0.995206748974291-8.28238429055487e-06i,0.993479610674989+3.13339764667417e-05i,0.998150091368754-5.945557793448e-07i,0.961728276814113+2.03061139564708e-05i,0.950422068940284+2.88521992031589e-07i,0.98253894022752-5.78094173438095e-06i,0.954562423298812-5.73259629224801e-08i,0.980846148290432+3.05291647675867e-07i,0.954050090356814-8.81527294863625e-06i,0.923506528278741-5.67884954886359e-07i,0.992648426513737-4.6770407293997e-08i,0.993513513586113+4.35835383537004e-08i
0.609461204134005+4.64251254588979e-05i,0.984707186060062-0.000113776994402411i,0.997174498929462+1.51050137954442e-05i,0.973308854815497+0.000246267918983916i,0.986985207835635-4.4429763872346e-06i,0.960590522435228+2.04823283821645e-05i,0.951058582823874+2.90537394342902e-07i,0.983113705450238-3.29376669027231e-07i,0.952297573376949+3.19033518000521e-08i,0.980364686988426+1.87958303343743e-07i,0.953137099676216-8.23404449997296e-06i,0.920944166208587-5.81080437433292e-07i,0.992503731525924+1.49962127672215e-06i,0.993277837692322+3.45279685742149e-08i
0.615585434858225+3.62607605408061e-05i,0.985677674228113-2.28455217287461e-06i,0.992217314071672+8.23191629841268e-06i,0.993898262825008+7.89087388627759e-06i,0.998967416008243-5.67824413517778e-08i,0.959076811263095+1.75003046697531e-06i,0.951745822751703-7.09128013172524e-07i,0.982181294766037-1.8784716309308e-05i,0.949989161789652+2.95330151591708e-07i,0.979891287313138-1.89326216802237e-07i,0.95228717927748-3.96080454234179e-06i,0.918386830025211+4.52138318449258e-07i,0.992227549436283+9.75138268250242e-07i,0.993110604653815-1.37595565869143e-08i
0.598747396972107+9.7627385173044e-05i,0.983613057761837+3.16356012586964e-05i,0.994732936389877+3.07348054383238e-05i,0.980776218936985-2.28534986493292e-05i,0.987133752021514-4.87987888904854e-06i,0.95796923354584+3.75661145203446e-05i,0.95256333630507+3.02776238381184e-07i,0.983101211261341+6.64727802469875e-06i,0.947522233098709-6.77113849557637e-07i,0.979333140025407+1.77410143645432e-06i,0.951305274044883-1.31515276231393e-05i,0.915835305620566-8.29272391164798e-07i,0.992192354475996-2.73436977742487e-07i,0.9926442082059+1.96705334633146e-07i
0.597996366759604+5.11014948875262e-05i,0.980595240252158-6.11958993963125e-05i,0.990579404562036+3.90926736060607e-06i,0.992950770714505+1.86281987896642e-05i,0.99742507565474+2.17479232477129e-07i,0.956426999801961-3.71414847733671e-06i,0.953338619708803-2.00685704218243e-06i,0.982612804601909-2.70844579391075e-05i,0.945133586232662+2.4710860734192e-08i,0.978882204030239+2.61993777718748e-07i,0.950592673662249-1.124631595076e-06i,0.913308130798418+1.58065981545917e-06i,0.991792109809274+2.56864465799664e-06i,0.992629135888694+5.06897044913753e-08i
0.589662409513602+0.000118864137538311i,0.992103841857515+2.69787399608154e-05i,0.993953042292899-2.35076526656804e-06i,0.984032308261731-4.86163166068298e-05i,0.992333417795989+3.4749897967011e-06i,0.955347880081746+4.68923262370206e-05i,0.954292253034171-1.6854698543753e-07i,0.983605875561613+9.55306479083467e-06i,0.942504901652217-1.09936404576922e-06i,0.978285915003088+2.82123733488793e-06i,0.949626959553069-1.65960864574258e-05i,0.910783257308339-4.96596083866372e-07i,0.99181140504753-5.53441271087003e-09i,0.992069044038756+2.98445764425477e-07i
0.582027953224856+4.7984427249427e-05i,0.987780799846964+1.52309372671307e-05i,0.992057947678437-2.31736416785014e-05i,0.9932874226517+2.31455980309154e-06i,0.997309661723941+4.62491940235804e-06i,0.954293757131031-1.58955598563248e-06i,0.955162230057558-1.94500457215398e-06i,0.984293624441278-2.47444425863745e-05i,0.940007897484133-2.74623372077736e-08i,0.977836207676775+2.36976067007329e-07i,0.949019536885194-6.05135776577238e-07i,0.908310126730584+1.28920836652064e-06i,0.991424760412527+1.75900849395403e-06i,0.99212698375847+6.56865997253932e-08i
0.578015713025255+6.74567780002738e-05i,0.979121709476778-0.000174897432999526i,0.995553764116257-3.24340205679684e-05i,0.976873697286673+0.000118249618520185i,0.997082314503085+4.28106976992995e-06i,0.953200622339188+4.03903998676872e-05i,0.956192573228948+7.24737146711276e-08i,0.985042338035845+2.6926536762806e-06i,0.937266476547082-5.55272415561981e-07i,0.977239456883449+1.92115690104572e-06i,0.948160351724126-1.48423215271708e-05i,0.905834261235139-8.18445790461821e-07i,0.991411089501269-2.92203279752034e-07i,0.991629969678892+1.93629940985157e-07i
0.570348106279882+2.25558588095952e-05i,0.99103685969474+5.4367418646806e-06i,0.994178767086478-2.63883997361008e-05i,0.994117442862857-7.27779702528073e-06i,0.995074990552869+6.9204951499102e-06i,0.952468278819245+2.88931348167526e-06i,0.957153075312396-4.49859599485593e-07i,0.985868166726698-4.2331697506721e-06i,0.93461573403534+3.73317831962287e-07i,0.976748034390906-3.56729330382579e-07i,0.947583370749629-2.2369163629974e-06i,0.903421873894308-2.52703305771961e-07i,0.991104237616673-8.71521891222453e-07i,0.991614661779653-9.44869925940107e-09i
0.564526912147615+1.65035469779568e-05i,0.968369471114566-0.000103587390353301i,0.991531125086142-1.89116230552553e-05i,0.972542522323062+1.00940422193128e-05i,0.998203754029796-2.34292644112855e-06i,0.951339336331557+1.73046790956805e-05i,0.95819907419819+5.52437251294903e-07i,0.98621677909775-5.83707011000286e-06i,0.93179285380735+3.27173135151688e-07i,0.976159327139219+1.76957290167396e-07i,0.946870840549395-8.30967251351783e-06i,0.901018790302278-1.31692870511435e-06i,0.990954952022361-2.75388330094527e-07i,0.991265405495633+8.82614910235448e-09i
0.557401003721987+1.52481581027264e-05i,0.987362174470983-6.38430246824012e-05i,0.996521372849663-8.96566805889295e-06i,0.993241213101819+4.22652476158152e-05i,0.992591433405908+1.15275496005831e-05i,0.950257557547252+8.89178466122232e-06i,0.959225688751131+5.70751976854249e-07i,0.985778927411682+1.86470722714671e-05i,0.92895075127408+4.39488968383634e-07i,0.975583832974698-1.53576497415105e-07i,0.946252195306135-6.50823250573611e-06i,0.898664830152443-1.25404873426966e-06i,0.990696511328723-1.60981893500812e-06i,0.991044813641546-1.43365803040173e-08i
0.549512401141657+2.77741639814983e-05i,0.986545512733362+7.83191129618864e-05i,0.988160901121421+7.08132961067459e-06i,0.981425510574127-8.9025258854439e-05i,0.997426061339516-1.20716159669029e-06i,0.949340860813895+2.59384857911784e-06i,0.960245974067919+7.6017639980442e-08i,0.986326890953248-1.47116615992937e-05i,0.926057047781283+4.94773053278657e-07i,0.97499380535691-5.08465577018889e-07i,0.945686941352166-2.48972725942638e-06i,0.896358397445076-8.81547151205541e-07i,0.990370558310267+1.28152304040722e-06i,0.990861850787647-2.59874280247957e-08i
0.541009682944227+3.23292734453132e-05i,0.990068484681364+3.01700883721614e-06i,0.996888467054292-5.11762324408357e-07i,0.990876590118694-2.21501830452987e-06i,0.994132797830265+9.89137580915559e-06i,0.94748803335292+2.65439088963059e-05i,0.961301392132779-8.5122517226751e-08i,0.984539629841614+2.14847520430224e-05i,0.923022660517653-2.11143485484611e-07i,0.97432796101959+1.19086398168016e-06i,0.945018420584597-1.31915791189351e-05i,0.894069679464733-9.01119936042298e-07i,0.990108807902242-4.09902099220551e-07i,0.990427941585766+1.25740571080558e-07i
0.533398316836113+7.68436848136221e-05i,0.984289542268488-1.02187526969497e-05i,0.989957572497522+2.42911555941304e-05i,0.989628604388246+1.63164681218381e-05i,0.996195203619879+2.26292121005733e-06i,0.947226912637448+4.46862065296631e-06i,0.962282601538058-9.74022274672584e-07i,0.986099099755533-2.02939430805657e-05i,0.920052843212854+5.1509619972943e-08i,0.973727851051783-9.31920197890565e-08i,0.944587600189344+1.507202052141e-07i,0.89188003859833+9.82958328850057e-08i,0.989664175963669+2.12461392113587e-06i,0.990394907357639+8.20036443121025e-08i
0.526105054924566+4.73950758957306e-05i,0.993334913848875+4.1056808461101e-05i,0.994708370223341-4.22796841469103e-06i,0.989270837965558-0.000153939868665104i,0.997575634667556+3.78515032253696e-06i,0.944823366043142+4.50055905485491e-05i,0.963324167968509-1.17623154678548e-06i,0.984053373736939+1.44450438893758e-05i,0.916862942374429-7.63353708036238e-07i,0.973002341019867+2.10131417856789e-06i,0.943924129374852-1.68463048755998e-05i,0.889680203798968-4.23291002740662e-07i,0.989374192760816-2.64955496274884e-07i,0.989870511854238+2.32210805846817e-07i
0.518861261762973+9.88629083287129e-05i,0.963096847497367-0.000183749545131439i,0.994061711139538+2.40718871386665e-05i,0.982165408667755+1.60299528713792e-05i,0.998160106592145+6.51821798206925e-07i,0.945234751998433+5.64696425014328e-06i,0.964265522972912-1.00570954677378e-06i,0.98622397720686-9.65191698430446e-06i,0.913793310039866-5.67071763414789e-08i,0.972377197234238+2.68349636506093e-08i,0.943588027023728+8.31498314886233e-07i,0.8876154542852+1.92337967742202e-07i,0.988891898359092+7.02633937500859e-07i,0.989919451301448+1.148124876206e-07i
0.511852559901607+4.28096993120073e-05i,0.99248654326641-5.74012165719243e-06i,0.996269189233812-1.19500195064924e-05i,0.990499306210044-8.21557200407852e-05i,0.997468657219394-6.22063624450347e-07i,0.942916046652626+3.55476795517851e-05i,0.965248165569849-9.82893914100436e-07i,0.984948090627538+1.42930792125179e-05i,0.910495076882719-4.50916064633598e-07i,0.971623054891368+1.33143080295656e-06i,0.94299358975101-1.41300780205513e-05i,0.885536744315653-9.60253658354701e-07i,0.988543987390642-1.07197024272054e-06i,0.989452781968221+1.34390852016042e-07i
0.507078619473017+6.7384916057237e-05i,0.976807858776062-7.57457635815042e-05i,0.997699137735759+8.06420844235307e-06i,0.972682405988014-0.000127879191316114i,0.998228140590068-3.81605382331526e-06i,0.94317214795688+1.59383311062673e-06i,0.966139778262325+8.48900873088729e-08i,0.985934504178756+1.26873989910464e-05i,0.907286007729993+3.27506461489178e-07i,0.970939298672035-5.01573536612759e-07i,0.942668798684327+7.13160529269252e-09i,0.883590893273974-8.06896123539563e-07i,0.988032654347404-7.25317086861426e-07i,0.989451303193405+2.33153453242672e-09i
0.493887643183257+3.65490472244067e-05i,0.986470739165594+0.000156189215162249i,0.996225862420759-1.72402726486617e-05i,0.993139777983453+9.67025508924799e-05i,0.994485840289106-4.76035043469831e-06i,0.94159413943085+1.38690788285532e-05i,0.96702365516704+9.32686713284462e-08i,0.985962202862876+1.3730252915411e-05i,0.903911884248893+2.44044456801369e-07i,0.970161575183215-1.67776727172175e-07i,0.942178026952536-7.57253502381462e-06i,0.88166206284325-1.70149238443867e-06i,0.987578726261316-5.34777822084968e-07i,0.989124734428783-4.1482341987773e-08i
0.494885484997869+2.59519688602853e-05i,0.993222197144127-1.71944496461446e-07i,0.998308730519261+4.67142318284478e-07i,0.979336837738679-0.000128522195827898i,0.997843726760778+9.0600179477311e-07i,0.940602208720883+8.17678476931827e-06i,0.967841471322458+3.61485445017012e-07i,0.984338754859694+2.87313867811049e-05i,0.900529634718276+3.71646035115865e-07i,0.969383276841617-5.3997308287209e-07i,0.941775264803462-4.43453669337133e-06i,0.879827053022381-1.59887295865904e-06i,0.986992267703539-2.73267464164897e-07i,0.988945898343721-6.62078023453553e-08i
0.475889179832395+5.84151444185616e-05i,0.983019863330624+0.000328054523859957i,0.993414051692961-4.33864670258294e-06i,0.992346993017457-0.000125189335367977i,0.991324780741473-3.83196555471836e-06i,0.940157360372703+3.42615609644786e-06i,0.968604561827591+3.81189728396201e-07i,0.986062633169652+3.38421247231441e-06i,0.897092666967558+3.94942527849089e-07i,0.968572210470118-6.64734308137278e-07i,0.941394121947591-1.43437256588871e-06i,0.878067456844086-1.25832193746954e-06i,0.986417873804544+8.43652344111771e-07i,0.988777882624765-4.29528568782494e-08i
0.479676711282877+2.75393242994628e-05i,0.978342163298691-3.14195134632754e-05i,0.99788013770501+7.10224417893007e-06i,0.989273434908219+1.22184563260767e-05i,0.998450356683254+1.40776927011507e-06i,0.937668056546202+2.7851662255412e-05i,0.969321478467975-1.26683583853307e-06i,0.98237292900166+4.50723309960577e-05i,0.893535682928362-2.72289303883548e-07i,0.967693019427746+4.23255749914543e-07i,0.940885513350029-1.22070741991088e-05i,0.876349508832446-1.46759886340488e-06i,0.985750572316902+9.97652728182201e-07i,0.988404967080931+3.42351685544956e-08i
0.46345001625822+8.95731459028179e-05i,0.990423490554813+0.000157593286533327i,0.995811969056217+9.4768692480011e-06i,0.988311601455222-0.000410011227469026i,0.991255765772092-9.50169309841483e-06i,0.938263182915751+5.89970457515963e-06i,0.969962187231806-2.70257911645484e-07i,0.98573605296992+1.31851105087105e-06i,0.890033348228232+2.84871511566758e-08i,0.96684353906574-9.49576642142955e-08i,0.940598380210623+4.51061522937314e-07i,0.874767397053936+3.14647813364258e-08i,0.985106691024888+9.73739745779941e-07i,0.988382329785196+1.178192207238e-07i
0.461079381577109+4.45916756911105e-05i,0.975084005449474-3.89522597692998e-05i,0.996100301106636+4.23685252356672e-06i,0.98276968446356+3.63686854399445e-05i,0.998175868865728-3.88155274768699e-07i,0.935145735065496+3.72720621003822e-05i,0.970557904300789-3.11325500343032e-06i,0.981943868756374+7.35321229453319e-05i,0.886334951576964-8.28471057500044e-07i,0.965890030993958+1.20166803819031e-06i,0.940034313548828-1.77474462230168e-05i,0.87319082751137-1.22447596156339e-06i,0.984412349735926+1.88375648770744e-06i,0.987923438602498+1.37954814134657e-07i
0.454075691488682+7.1728934665629e-05i,0.985120807945537+6.06791633410211e-05i,0.998686557364716+6.02274705526572e-06i,0.988184733955335-0.000162407509008324i,0.995719377124565-6.03746253884714e-06i,0.936110699825233+9.68054174519863e-06i,0.971080697520225-4.33789123149257e-07i,0.985546214763028+1.5810198863626e-05i,0.882747881566694-1.08587391520581e-07i,0.964996420500041+1.68185189607686e-07i,0.939796824746802+9.33194471425324e-08i,0.87178241907561+5.51071094424213e-07i,0.983752231073073+6.01875980226151e-08i,0.987988634820671+1.7601220745265e-07i
0.442185671184833+2.76641834635794e-05i,0.989510055374726-2.30577035809606e-05i,0.99601581778324-6.69758811023545e-06i,0.97216025543534-4.51034524860158e-05i,0.993407360921518+8.40413455927499e-06i,0.933478350035661+2.69887669435307e-05i,0.97154287293771-2.95969320600154e-06i,0.983314567943682+8.88207332956569e-05i,0.878953056303502-5.83954288383476e-07i,0.963996565018986+6.73412125443505e-07i,0.939254284774095-1.52950414516344e-05i,0.870377972449378-1.54946076993234e-06i,0.983072691662177+2.1423069328573e-06i,0.987581728978966+5.21470621136081e-08i
0.44197715487474+1.26238297420237e-05i,0.97009791938477+0.000216615009971997i,0.99790133348095-1.59784410545666e-06i,0.992146195459921+0.000115723029479343i,0.997939624575888+9.63144401810987e-07i,0.933832104519217+3.74738239110753e-06i,0.971942227426166+1.28209748055244e-07i,0.984753623510364+2.85769061612916e-05i,0.875247558956542+1.65348175613558e-07i,0.963037911284746-3.84802768726489e-07i,0.938990350310901+1.25162350595246e-08i,0.869131218610387-2.2459254453416e-07i,0.98238566833849-3.29262948130602e-07i,0.987616484911286+2.69090991410515e-08i
0.427369838363721-1.04704805914618e-05i,0.990589037653129+6.84947408576864e-05i,0.998681799908732+9.82488486081632e-07i,0.978656306503568-8.92528933592592e-05i,0.988169343556085+9.02025537779665e-06i,0.932187305595571+9.3586344658203e-06i,0.972266599385337-1.1841656713538e-06i,0.984731624621138+6.39262285905065e-05i,0.871389512486531+6.40960920519967e-08i,0.961997134268331-4.51484986029589e-07i,0.938520088581258-6.76555295784957e-06i,0.867921747609046-1.65451378895799e-06i,0.981716542074759+1.27052620188206e-06i,0.987340130888821-1.05631626633644e-07i
0.426882502166298+2.03875152022862e-06i,0.981767696299896+0.000206241437559542i,0.994897723988923-2.25133453884433e-06i,0.990384168146531-0.000183876826266744i,0.9983907554735-2.18624515646543e-07i,0.931287801260241+3.7702454160185e-06i,0.97252763453972-3.53647541933786e-07i,0.982581556024379+3.94889263151114e-05i,0.867536283074478+2.5649221995121e-07i,0.960947661360115-7.28145089615812e-07i,0.938151452464218-3.3015695007037e-06i,0.866827605757936-1.15999735788015e-06i,0.980973953572995+7.77399136458043e-07i,0.987224057250546-1.14977434356765e-07i
