time,signal
0,0.999999999998525+1.18256913410047e-30i
1e-07,0.858697657796947-5.24230771404721e-05i
2e-07,0.995788412497397+4.16343644076438e-06i
3e-07,0.93778583750424+5.53401843172059e-06i
4e-07,0.960478933908856+5.59425696066333e-05i
5e-07,0.93430337398209-9.82123906807725e-05i
6e-07,0.90732456367263-4.76185772374505e-06i
7e-07,0.878371781355163-0.00144190892491331i
8e-07,0.870545406348377-4.8171785642849e-05i
9e-07,0.875910316949635-0.00166751008235458i
1e-06,0.854901163529783-0.000256473682328234i
1.1e-06,0.891432116650385-8.29718651698449e-05i
1.2e-06,0.855623670051862-0.000669220885378036i
1.3e-06,0.852541644849833-0.000464717648251383i
1.4e-06,0.829581457466807+6.82515994823302e-06i
1.5e-06,0.767505390825756-0.00241485187217265i
1.6e-06,0.74275689553913+0.000420036068218101i
1.7e-06,0.686040561115698-0.00181505543027699i
1.8e-06,0.653369291874695-0.00103765380623701i
1.9e-06,0.631632370779885-0.000114058444894359i
2e-06,0.599589987607369-0.00105024890144596i
2.1e-06,0.581140340639789+0.000105550041865585i
2.2e-06,0.548116747677712+0.000966437983371278i
2.3e-06,0.515047918332011-0.000741771147980284i
2.4e-06,0.488302709517046+0.000766152418527117i
2.5e-06,0.451784235542134-0.00161778316727151i
2.6e-06,0.442979182988809-0.000810405927144081i
2.7e-06,0.412303325439951-0.00108179860697611i
2.8e-06,0.408117779430451-2.87014137064759e-05i
2.9e-06,0.390273499242589+0.000201305329676108i
3e-06,0.373771392541382+0.000961050232460574i
3.1e-06,0.363475418598417-0.000317755007668054i
3.2e-06,0.339300367597268+0.000389336862812995i
3.3e-06,0.320377836180354-0.00114280340741146i
3.4e-06,0.301101789919744+4.81804285845385e-05i
3.5e-06,0.284938936139041-0.00044165635283689i
3.6e-06,0.270351833415489-4.44169178835279e-05i
3.7e-06,0.26604977031306-2.36022353257251e-05i
3.8e-06,0.250172537643318-0.000195932103938016i
3.9e-06,0.238746903808375-0.000144625709877537i
4e-06,0.227974479382022-5.34675006310502e-05i
4.1e-06,0.203011367090332+0.000221142855622i
4.2e-06,0.199141852858698+9.39928889979067e-05i
4.3e-06,0.17831349494456+0.000245889050602741i
4.4e-06,0.171729081471871-0.000106521303134016i
4.5e-06,0.160735099848434-0.000253511453739252i
4.6e-06,0.150531895441762-0.000147658165916484i
4.7e-06,0.140663744534786+1.0365553961433e-05i
4.8e-06,0.133572079524599+1.29583609179661e-06i
4.9e-06,0.12113714102904+0.000552209060483609i
5e-06,0.115764695658213+9.55344812027075e-05i
5.1e-06,0.104243399221826+0.00019160744481591i
5.2e-06,0.0982144323604126+0.000137763059724977i
5.3e-06,0.0897931236423682-0.000284435541253233i
5.4e-06,0.084673386130384+7.6315672058296e-05i
5.5e-06,0.0773879283714725-6.99489656610664e-05i
5.6e-06,0.0722612288441784-1.28862722749863e-05i
5.7e-06,0.0658713301982801+0.000209283839828779i
5.8e-06,0.059279600105313+1.65334299547103e-05i
5.9e-06,0.0552640548198291+4.21204016660756e-05i
6e-06,0.0490167372242646+2.75933968172748e-05i
6.1e-06,0.0462424578523382-0.000144030439803062i
6.2e-06,0.041521543191672-5.12919191247819e-06i
6.3e-06,0.0384035598693503-4.70290272084941e-05i
6.4e-06,0.0345261203209885-6.77521817935328e-07i
6.5e-06,0.0315403029244211+5.12000066321682e-05i
6.6e-06,0.0283610396721941-1.75288132244766e-05i
6.7e-06,0.0252927721229274+4.11818361419709e-06i
6.8e-06,0.0232485623568847-1.76920315240248e-05i
6.9e-06,0.0198258643580014-2.85355923638854e-05i
7e-06,0.0183970067060241+1.41828581237167e-05i
7.1e-06,0.0156434259154171-1.60004269087496e-05i
7.2e-06,0.0141065585375804+1.78186727319157e-05i
7.3e-06,0.0123613446530362-7.10623457660834e-06i
7.4e-06,0.010934075166664+4.08366538787857e-08i
7.5e-06,0.00940422996652083+4.81346953648794e-06i
7.6e-06,0.00842857246837266+1.05242662096054e-06i
7.7e-06,0.00709440974362358+1.00724897799688e-05i
7.8e-06,0.00642946110604359+3.90397772005428e-06i
7.9e-06,0.00557588791645041+4.06210526557085e-06i
8e-06,0.00494099087161803-1.16462778163237e-06i
8.1e-06,0.00431239943739583+2.07563898983233e-06i
8.2e-06,0.00379846422336727-3.28941189122463e-07i
8.3e-06,0.00323817706587865+5.04017145409286e-06i
8.4e-06,0.00292167195814948+8.01391553200804e-07i
8.5e-06,0.00251663633034649+4.99337282072721e-06i
8.6e-06,0.00223098161109518-1.31901261347352e-06i
8.7e-06,0.00197489068185662+2.42120700941931e-06i
8.8e-06,0.00168209459262226-6.45952185783102e-07i
8.9e-06,0.00148698428341735-4.86654604863486e-07i
9e-06,0.00127630356211779+1.12134430074655e-06i
9.1e-06,0.0010976642523712-5.22314802449766e-07i
9.2e-06,0.00096479982016283+8.69558472245359e-07i
9.3e-06,0.000815123263448864+9.15343611802915e-07i
9.4e-06,0.000720907966472992+2.63443237484998e-07i
9.5e-06,0.000615797232931481+3.69141041226402e-07i
9.6e-06,0.00054648892636526-2.71910366006185e-08i
9.7e-06,0.000473074351041058-3.66564342159263e-07i
9.8e-06,0.000416758033686329+3.52775591890476e-07i
9.9e-06,0.000367941882593035+1.542457766214e-07i
