time,signal
0,1+0i
1e-07,0.859835958743697-7.02359002901458e-06i
2e-07,0.998068665941764+7.08217888867983e-07i
3e-07,0.947314893562132-1.03511051370774e-05i
4e-07,0.982718022004178+4.15835969157038e-06i
5e-07,0.971987655632933+1.01321002491219e-05i
6e-07,0.959057013668256+3.89270496189225e-06i
7e-07,0.937679103118341+8.52595700351398e-07i
8e-07,0.935723461274937-1.1246942568164e-05i
9e-07,0.943494009592105-1.27896028989486e-05i
1e-06,0.926382099536045-2.15474058368749e-05i
1.1e-06,0.974217490237518-2.08967255308458e-06i
1.2e-06,0.951164355799641-8.61954383271184e-06i
1.3e-06,0.970069252279825+3.29518337702787e-06i
1.4e-06,0.972589234803497+5.49369028941652e-06i
1.5e-06,0.93281854337974-2.1882523061657e-06i
1.6e-06,0.938891009084207+5.58002263961614e-06i
1.7e-06,0.906630075065182-1.09165463845186e-05i
1.8e-06,0.904159152410962-6.56620679458141e-06i
1.9e-06,0.917040240348177-8.75168538481583e-06i
2e-06,0.912306137770364-1.66457381578172e-05i
2.1e-06,0.925744417044142+2.78896021810806e-06i
2.2e-06,0.912618396541968-3.91846954339747e-06i
2.3e-06,0.893425746063762-1.99254450680202e-07i
2.4e-06,0.881456896524327+5.66156794945926e-06i
2.5e-06,0.844207118716863-1.04956013353534e-05i
2.6e-06,0.856515692007255+7.50003336360111e-06i
2.7e-06,0.822039034015048-1.27755073282634e-05i
2.8e-06,0.841109462068159+1.81366673351581e-05i
2.9e-06,0.827841875235208-8.66395960537892e-06i
3e-06,0.82027529185135+2.05305306274625e-05i
3.1e-06,0.824697650440046+3.82825282418651e-06i
3.2e-06,0.79676787427976+8.57574207676539e-06i
3.3e-06,0.782860272293776+9.09564889788241e-06i
3.4e-06,0.759009539615462-2.1309004147337e-06i
3.5e-06,0.743942247741032-7.57224550158163e-06i
3.6e-06,0.727968847247896-1.84559642628192e-05i
3.7e-06,0.74268930870265-2.1705341710278e-05i
3.8e-06,0.726158427223769-2.46881068447538e-05i
3.9e-06,0.723605806620561-1.21506128572655e-05i
4e-06,0.721295251360958-1.29263416756922e-05i
4.1e-06,0.670261234814922-2.8005885908206e-06i
4.2e-06,0.687611841519241-1.03424572585286e-05i
4.3e-06,0.643313977104263-1.66620517226512e-05i
4.4e-06,0.648677535280994-1.306792457878e-05i
4.5e-06,0.637414638091685-2.65054201306219e-05i
4.6e-06,0.623594207913449-1.15610890357896e-05i
4.7e-06,0.613056274991146-1.62126065913128e-05i
4.8e-06,0.610083918109845-4.88549835216781e-06i
4.9e-06,0.581381922948289+1.33942794866907e-07i
5e-06,0.583814219732127+7.86845992797846e-06i
5.1e-06,0.550231440252614+1.83944054865336e-05i
5.2e-06,0.543820757932876+1.1373743074435e-05i
5.3e-06,0.52134049047672+2.25813248572998e-05i
5.4e-06,0.519061183350626+2.17581447302213e-06i
5.5e-06,0.501610124732429+1.23170676010263e-05i
5.6e-06,0.499782448636303+7.33545516204816e-07i
5.7e-06,0.483711762749421+1.15041737775241e-05i
5.8e-06,0.461782404061928+1.2015065106265e-05i
5.9e-06,0.456868348592483+1.17922506544107e-05i
6e-06,0.424456719081281+1.71583832309761e-05i
6.1e-06,0.427886320699418-2.31144916628853e-06i
6.2e-06,0.403426833827566+9.04904156019127e-06i
6.3e-06,0.401081293198303-2.08269916811191e-05i
6.4e-06,0.381083480189399-2.65089945751817e-06i
6.5e-06,0.372998045811163-2.20192105914363e-05i
6.6e-06,0.356486051688418-4.98226516052451e-06i
6.7e-06,0.340463248591697-6.36978160953539e-06i
6.8e-06,0.336593346556829+4.36606007495271e-07i
6.9e-06,0.30795420451276+7.0687895304278e-06i
7e-06,0.31055269146568-4.3221356925446e-06i
7.1e-06,0.284958192302182+4.04855894530857e-06i
7.2e-06,0.279933406471199-1.64353581708363e-05i
7.3e-06,0.26658296235321-4.61061469332012e-06i
7.4e-06,0.256708367333318-1.95524291174994e-05i
7.5e-06,0.239671606356852-5.74653389534012e-06i
7.6e-06,0.234824764851943-9.89987781875752e-06i
7.7e-06,0.213195039162937-3.83551206475693e-06i
7.8e-06,0.210948276317781-6.65122582823493e-07i
7.9e-06,0.196692254075041-4.51359061130916e-06i
8e-06,0.188456686342782+5.62815056116511e-07i
8.1e-06,0.176901662324763-8.77643935390738e-06i
8.2e-06,0.168389092615523-3.29140961313933e-06i
8.3e-06,0.153655949856964-1.19274928247579e-05i
8.4e-06,0.150074952305314-4.14236655822662e-06i
8.5e-06,0.137746309093604-8.16996600644998e-06i
8.6e-06,0.131126988892768-1.01584737659922e-07i
8.7e-06,0.12472057994279-9.8478901865752e-07i
8.8e-06,0.113574283454201+1.69464734348543e-06i
8.9e-06,0.108331823389442-3.74332237894304e-07i
9e-06,0.100549521409032-9.06868611461241e-07i
9.1e-06,0.0923169690447175-2.96954329735151e-06i
9.2e-06,0.0885569682122755-1.90266307589643e-06i
9.3e-06,0.0793978437822844-1.9268402669692e-06i
9.4e-06,0.0760722008561068-1.39191914050478e-07i
9.5e-06,0.0691596809610314+1.47206482352185e-06i
9.6e-06,0.0657030374230835+4.2182141726425e-08i
9.7e-06,0.0599801376029357+2.59084682420488e-06i
9.8e-06,0.0556815851340891-1.95622861422208e-06i
9.9e-06,0.0511696865697071+1.16698663044243e-06i
