group_26
1-7.70371977754894e-34i
0.999582142765701-9.79993794087328e-10i
0.999994268213323+3.96216304531048e-11i
0.99974585438079-7.14063595311211e-09i
0.999927927082036-3.36110600535563e-09i
0.999918509249433-6.30189105101481e-09i
0.999758972870685-2.96017923731144e-08i
0.999989392161448-8.76341243203095e-10i
0.999586374684316-9.30570588952486e-08i
0.999991474690059+6.65625795203725e-12i
0.999565593526503-1.51232954828974e-07i
0.999976736182922-1.38350239663412e-09i
0.99970748970456-1.36809440897648e-07i
0.99990033096295-3.67166752212059e-08i
0.999861341105157-6.17695190606725e-08i
0.999713081059827-1.78060841543927e-07i
0.999906993384372-8.19845513290415e-09i
0.999501004936518-4.06777881919484e-07i
0.999867506692529+3.35000455770557e-11i
0.999417435812043-5.4038785753516e-07i
0.999796629918454-4.30233752471575e-09i
0.999484096189131-4.30087511616856e-07i
0.999655508017673-9.25994760667638e-08i
0.999557879373387-1.83637174050133e-07i
0.999390335244903-4.11677667214326e-07i
0.999512363593679-2.75267769044632e-08i
0.99907403786727-8.80706262542009e-07i
0.99936084281014-1.83017936154272e-11i
0.998855672605455-1.11570227281348e-06i
0.999158222431093-8.09628392845229e-09i
0.998767743206405-8.65954040631543e-07i
0.998873278895747-1.57430549978974e-07i
0.998678104241188-3.75592076830716e-07i
0.99845034253619-6.80972973729043e-07i
0.998457639037372-6.50494408606174e-08i
0.997949881655321-1.42844729707693e-06i
0.998110856061168-3.77836389697649e-10i
0.997515161502579-1.78901325512411e-06i
0.997693587500616-1.22900467055372e-08i
0.997189174720837-1.39407051516409e-06i
0.997183539006965-2.21376497206266e-07i
0.99685340488394-6.28816525935317e-07i
0.996525626847524-9.38527170202851e-07i
0.996379440865638-1.25889350615069e-07i
0.995768834418958-1.95332455642201e-06i
0.995764471246841-8.7017926394518e-10i
0.995049593631189-2.44796856618577e-06i
0.995065274817421-1.48612748205289e-08i
0.99442077373317-1.93807310968498e-06i
0.99426921911482-2.77895196488584e-07i
0.993779127684096-9.19568433476863e-07i
0.993323493315086-1.14573887499086e-06i
0.992999644634857-2.11496834414903e-07i
0.99226645481972-2.36344411875849e-06i
0.992073740704901+4.89999284838641e-10i
0.99122692976344-2.97213237173398e-06i
0.991059273163417-9.90055946684776e-09i
0.990266702067016-2.40432376471454e-06i
0.989953362323422-3.21727852131032e-07i
0.989298261461644-1.20962716138845e-06i
0.988706148903096-1.27734314572864e-06i
0.988201626652956-3.17095672788979e-07i
0.987345767568644-2.58622829901253e-06i
0.986963723221118+9.5561452549037e-09i
0.985992763655994-3.25200650794041e-06i
0.985643637409042+1.50514279324881e-08i
0.98471660128512-2.6955163530641e-06i
0.984247787928472-3.45684274967455e-07i
0.983444901099002-1.45032256420262e-06i
0.982728957413341-1.32300652187489e-06i
0.982063171529273-4.302519141367e-07i
0.981104859690279-2.58013503390786e-06i
0.980554648852615+3.78570391538629e-08i
0.979487086994041-3.20805652849961e-06i
0.978979784604663+8.10558816605096e-08i
0.9779514448945-2.72725704170097e-06i
0.977353536754981-3.37044168786842e-07i
0.976439322223432-1.58999359173258e-06i
0.975630303204979-1.28569910901541e-06i
0.974841169658579-5.31540531190774e-07i
0.973816648429025-2.34132403783975e-06i
0.973136799350841+1.02839566193323e-07i
0.972014531678931-2.80622802154067e-06i
0.971388161771279+2.17775459878567e-07i
0.970304862391976-2.44463318560809e-06i
0.969617997513939-2.7494501176913e-07i
0.968641121083445-1.58369680566863e-06i
0.967781014712802-1.17722466383709e-06i
0.966917510875972-5.97733596113682e-07i
0.965871615719234-1.90362209713295e-06i
0.965110233479042+2.25416007531355e-07i
0.963981487866889-2.06650917516979e-06i
0.96328288823505+4.59990945449982e-07i
0.96219567890195-1.83522685108938e-06i
0.961465519583075-1.30436778600014e-07i
0.960478218401035-1.40312771595475e-06i
0.959612043582701-1.01215835430069e-06i
0.958725691024653-6.07080765151047e-07i
0.957703740486573-1.33136012117704e-06i
0.956910222702754+4.24529726924034e-07i
