signal_1,signal_2
0.0011487791123155344-0.499998460453038i,0.0011821227289293265-0.4973210554955085i
0.4272874351025655+0.25966337813322127i,0.42491943933289916+0.2582713005612617i
-0.4432743654527936+0.23131740662421085i,-0.44079681355050787+0.229978495180746i
0.03137994795819282-0.49901411695181513i,0.03123970301494147-0.49613060017773347i
0.41080456773691987+0.2850249039761985i,0.4083500974159462+0.28337264251844535i
-0.4564502821280897+0.2040908317752907i,-0.4537010906772219+0.2028152574907842i
0.061496279483363725-0.49620359666419217i,0.06115672242446962-0.4931181787960874i
0.39281833178304637+0.30934336028162734i,0.3902946968353542+0.30741097150050367i
-0.46795578684819616+0.17611737135791822i,-0.46492695975589665+0.17493066367378887i
0.09138756083972688-0.49157718488820734i,0.09082242673953664-0.4882965397140618i
0.3733945491452314+0.33252975193638723i,0.37082146059759086+0.33029813397328317i
-0.47774877440375163+0.14749939623161484i,-0.4744343110575328+0.14642869922079574i
0.12094440276621121-0.4851518123054043i,0.12012709864507655-0.4816851823901644i
0.3526043025316606+0.35449922669812123i,0.3500038503317982+0.3519503576851851i
-0.48579340666324244+0.11834163590312483i,-0.48218949429285723+0.11741556337769281i
0.15005863990652557-0.4769509930218049i,0.14896247034173749-0.47331027785965646i
0.33052367532221405+0.37517138571802666i,0.3279202846772448+0.3722885634597096i
-0.49206024372518137+0.088750795261368i,-0.48816543954656866+0.08799926684939303i
0.17862372664793924-0.46700473851637214i,0.17722213027751568-0.4632045639337755i
0.30723347313594895+0.3944705777661355i,0.3046538390896376+0.39123865886788595i
-0.4965263516555131+0.05883516408334238i,-0.4923417530920971+0.058289222991486964i
0.20653512703249824-0.4553494478118779i,0.20480192244495518-0.4514072155409279i
0.28281892811721426+0.4123261760823489i,0.28029192823365645+0.4087318126720722i
-0.49917538641597003+0.028704220740015395i,-0.49470478774345766+0.02839583406186951i
0.23369069731376665-0.4420277742701011i,0.23160033672125246-0.4379636907302621i
0.2573693870225821+0.42867283684006763i,0.2549259721952335+0.42470470900809176i
-0.49999765367623744-0.0015317684475278015i,-0.49524768749922093-0.0015699258777696872i
0.2599910597591004-0.42708846949882945i,0.25751888876444895-0.42292555295133694i
0.23097798425006402+0.4434507382765528i,0.22865104780843634+0.43909978035187053i
