signal_1,signal_2,signal_3
-0.4222367649395907+0.2677972481453411i,0.008850181675968712-0.00345417447513904i,0.0049867365963833935-0.001927253181841685i
0.3165108191776799+0.387066746500268i,-0.006750883041697774-0.011164201573611763i,-0.003750742671370258-0.006330944927356647i
0.3463054203129912-0.36065297023690035i,-0.012798937603999+0.010640146136252705i,-0.007239331073844931+0.005887426625551553i
-0.3995899965783133-0.30054179916070267i,0.014983984005160557+0.013640872971043008i,0.008354318378462289+0.007678478744222934i
-0.25044158442593073+0.4327570298205691i,0.013585383168719704-0.019646148225782513i,0.00770331572073914-0.011032883699310887i
0.4596725879460609+0.19672481254042623i,-0.024490397635183257-0.01257701816508381i,-0.01371158032791132-0.00722788945195232i
0.14016521272063093-0.4799490322451863i,-0.010602043065748296+0.029338582522130553i,-0.006088272440597192+0.016358466844643465i
-0.49329798258977053-0.08158030765204577i,0.03399060461498828+0.007639015583618924i,0.019036032724744918+0.004352516501184264i
-0.021820491435591477+0.4995234366020866i,0.00367801391466099-0.0382843655755299i,0.002209631851409123-0.021561607539103193i
0.4985335453334249-0.03825418188528858i,-0.04208030419880779+0.0012160180386326257i,-0.023639910442366196+0.0004089223691588412i
-0.09777876476083638-0.4903431268102083i,0.006929411338168158+0.04519505603634454i,0.0036762965835172795+0.025286693194942256i
-0.47507531758185473+0.15589226772314574i,0.04743722704871014-0.01337655486741332i,0.026648937271824213-0.007414283208579531i
0.21175180268007765+0.45294699984526476i,-0.020468862903483057-0.04869210252841944i,-0.011298138335267984-0.02752068350357572i
0.4242760406106165-0.264552901311337i,-0.04889011542406499+0.02802905667742396i,-0.027565625774746555+0.015383917222336105i
-0.313536414419103-0.3894768072625603i,0.03583626541892415+0.047914974527269644i,0.019862630584471564+0.026887434470618577i
-0.3490567709014082+0.3579927915974367i,0.04565322282061449-0.043729243226137436i,0.02575398885402404-0.02446448424446455i
0.39727714635754335+0.30359603230257876i,-0.05156294538053789-0.042101214458910304i,-0.028755201108565723-0.023972439901730574i
0.253749291725036-0.43082358689421557i,-0.037315583828086515+0.059100701106401116i,-0.02120112068117439+0.032807155381146945i
-0.4581517731298872-0.20023689976149017i,0.0660769004851516+0.03129564729367176i,0.03685945172780484+0.017656953057498686i
-0.1438362734428165+0.47886413765405983i,0.024044810843649414-0.07232395694149171i,0.01374621291262571-0.040591670100180034i
0.4926593641050932+0.085358650901406i,-0.07771510814717612-0.015697195755955875i,-0.04350705702632002-0.009305919936588126i
0.025646254608345548-0.4993389943626918i,-0.006449429166169235+0.08203456533342351i,-0.0040035562590120585+0.04573681365562256i
-0.49881124573462415+0.03443757615910066i,0.08505506808612678-0.00358123026495559i,0.04760791299969296-0.00183282517652338i
0.09402111848262656+0.4910802879988523i,-0.014284808752159879-0.0866845286497215i,-0.007670803155596911-0.04879840610631091i
0.4762559865031862-0.1522465237525049i,-0.08689352037299032+0.025414555747878566i,-0.04880133438526211+0.013654404991077663i
-0.20827590759224587-0.4545528023381979i,0.036672683669698926+0.08556397325974759i,0.02011949281228492+0.0478455205430852i
-0.42628909379649343+0.26129838106216186i,0.08257829789588753-0.04787302740829002i,0.04637706060214267-0.026659191148266925i
0.31054495364696477+0.39186936684086227i,-0.05885843962166023-0.07798104808321003i,-0.03265712040530316-0.04411112543763398i
0.35178898192821356-0.3553062691758754i,-0.0718903518709929+0.06934097796728977i,-0.040569517616091025+0.038273571220866i
-0.3949396573489479-0.30662711245977625i,0.07900218512070421+0.06432705752090066i,0.04388142402962625+0.0360957717957139i
-0.2570407792729281+0.4288702174703156i,0.0553124653057023-0.08767117992509088i,0.03126090162866974-0.04904819428206076i
