batch_1
1-3.85185988877447e-34i
0.985789295802606+1.98289519175728e-05i
0.998989958171231-3.29181596202297e-06i
0.990307692720852-5.31270742700058e-06i
0.991837258583801-5.16284990758864e-05i
0.98967856901936-4.07760154010346e-05i
0.983433770565724+1.51121336452309e-05i
0.989829910423428+1.74217860326009e-06i
0.979308025256028+5.76310490622784e-05i
0.990301399952819+2.09539656182485e-06i
0.981763293616632-5.13320431769211e-07i
0.987618497265672+5.66199211088994e-06i
0.98266560751568-8.13389903178077e-06i
0.980110100393379-1.44358416287533e-05i
0.97665789700787+3.48997808278927e-06i
0.971501562194674+2.09817080802847e-05i
0.968571983855068+6.00906097410397e-06i
0.963363349630017+5.87771638791201e-05i
0.960604932993629+1.17664762258636e-05i
0.960820037660066+9.90396848736888e-06i
0.958851379226193+6.47704191032593e-06i
0.96457966581504+3.30256961434785e-07i
0.966637795111491+1.60358321866892e-05i
0.968315897556306+1.64562766796273e-05i
0.974133984221515+5.12915338343251e-06i
0.970069403407496-2.05148229253669e-05i
0.98099507196354+1.28802371503162e-05i
0.976103781511582+2.23838414482146e-05i
0.989267316746461+1.09160193794884e-07i
0.982728956195352-1.1078784657689e-06i
0.989698382138859-1.27998411269222e-06i
0.987912730523034+1.80885332504029e-05i
0.983924779337977+5.92705697525389e-06i
0.98962208601643-1.48143650802717e-05i
0.980760696883799-3.62583922418343e-05i
0.993761899120847-1.00642484443603e-05i
0.985962784679114+5.50558076974782e-05i
0.998692909501432-1.23030222943714e-06i
0.991418264331369+7.45043167282892e-06i
0.997183493489013-2.75184003232298e-06i
0.997003007307905+1.36497646846457e-06i
0.993871360229614-6.06468344501222e-06i
0.996666367653133+2.32077494847376e-06i
0.988390794671971-2.46131410199381e-05i
0.99165378836622+2.81266708102638e-05i
0.985659636681794+6.58035791536488e-05i
0.990647581289536+2.00744014200476e-06i
0.988723781519969+1.90118176096935e-05i
0.991900772302914-1.67455962475032e-06i
0.991873153953311+6.72583948429958e-07i
0.990399413350001+7.28733093055169e-07i
0.986708424785239+2.30067874863093e-05i
0.985392286448828-2.55073525739775e-06i
0.979211840650109+4.93881473417714e-05i
0.979120153708843+2.32922829704195e-05i
0.974231808357478+1.48154984405368e-07i
0.973009413089088+4.79925058585709e-06i
0.969873744499214+3.73274828132127e-06i
0.966618375110367-3.24423046035449e-06i
0.969187971262563-3.91872827456864e-06i
0.965404373474439-3.76993028778291e-06i
0.976040840580235+5.85247356378931e-06i
0.971144057520777+2.04991455659424e-05i
0.980589266209451-2.46418811060989e-05i
0.978325843271924-1.1875616291051e-05i
0.984855851383248-2.9943170361832e-05i
0.987274339562251+1.83398164905954e-05i
0.987687208428687-5.67798822185754e-06i
0.992422063977836+2.40928479865075e-08i
0.98608069644669-1.71907841849632e-05i
0.992681023392165+4.52976075993248e-06i
0.984452352747131+1.07313121969432e-07i
0.989005143182218-2.52981140799692e-05i
0.986353378978971-1.04138167591982e-05i
0.99060654652133-1.90266967730668e-05i
0.992243862166755+3.12074779467131e-05i
0.992627796938154+1.7245198835855e-06i
0.994731513537368+2.35597873953119e-06i
0.992242447473191-1.44054512538202e-05i
0.995263407205926+2.00766935208125e-06i
0.993444440288751-2.29137592612789e-06i
0.993203573876674+1.90701185248023e-05i
0.99180133380407+1.16707826481571e-06i
0.99014993418828+1.56479921585979e-05i
0.988709946245249+1.01671890299631e-05i
0.990050909287018-3.91591335254028e-07i
0.990268433637965+3.60545105074892e-06i
0.993604928047652+1.47665331000822e-06i
0.991972003478084-4.03765001593908e-06i
0.994656488133605+1.29907348560448e-06i
0.990267919541431+1.70652398307503e-05i
0.990821709259243-4.78176912630656e-07i
0.987505456347846+1.29421407535106e-05i
0.984110446032011-2.8698183974988e-05i
0.984090887863896-3.50185202229756e-06i
0.978509531202756+4.26219719375594e-07i
0.979221577540804+7.91903482788986e-06i
0.972691708679083-2.6734107849959e-05i
0.976699410109588-9.95433641591405e-06i
0.975553086162718-1.66695627804783e-05i
