methyl_52_53_77_
1+0i
0.999913865392367-1.03977823895335e-09i
0.999998515768176-2.03608382491052e-10i
0.999946537962252-2.81651023094764e-09i
0.999980223866756-1.72945273612003e-09i
0.999970619906914-2.42376956921418e-09i
0.999924913244332-6.23964538333078e-09i
0.999946149593091-6.21373912052587e-10i
0.999832999186652-1.34976317987929e-08i
0.999857274803516+3.03811576418389e-10i
0.999708613037402-1.79922298979006e-08i
0.999688132309141-1.19523064372948e-10i
0.99952034351236-1.37380521177591e-08i
0.999399107759135-3.0977015529887e-09i
0.999201406894099-4.30535585350459e-09i
0.99894555792729-1.18563752274913e-08i
0.998693414961394+4.54087640228015e-11i
0.998307642347909-2.32098353322834e-08i
0.997972454696564-2.27821419541882e-09i
0.997479707833562-2.45000981585181e-08i
0.997025959198883-2.53363767218211e-09i
0.996434284178928-1.07748818881199e-08i
0.995825181071001+9.15793041550675e-10i
0.995120545244176+1.17661879300773e-09i
0.994339827965213-1.9317306262171e-09i
0.993505600919538-7.15914324958645e-09i
0.992569217462573-1.1823763202227e-08i
0.991600092643025-2.56750991726358e-08i
0.99053691761871-1.268212895952e-08i
0.98943370531642-2.69550780885322e-08i
0.988256946185805-2.33811322174005e-10i
0.987022643062643-8.28453771226406e-09i
0.985728355406869+1.24634841615938e-10i
0.984379018595997+3.66202347670304e-09i
0.982970828820485-3.09002373925367e-08i
0.981542038339192-3.15359892725275e-09i
0.980047181852057-6.64267322724922e-08i
0.978577081716406-7.62146423291484e-09i
0.977036862477784-6.24410366499581e-08i
0.975543747070177+2.2505435139231e-09i
0.973999169441204-2.21087382675247e-08i
0.972485914940803+9.74907764652697e-11i
0.970978023057786+6.64569558481839e-09i
0.969460710015983-3.47857676108186e-08i
0.968033258218375+2.33069638746901e-09i
0.966557915207176-6.88735085577789e-08i
0.965244452958513-2.89895791970977e-09i
0.96387331914782-5.29243515365706e-08i
0.962681844355363+1.58234105791159e-08i
0.961470538905851+2.20079275227682e-09i
0.960393179862061+3.05133538901559e-08i
0.959383376933722+3.60159711658148e-08i
0.958427379581509+1.00312453603243e-08i
0.9576482664277+2.65133189240767e-08i
0.956852833382989-1.81908599208296e-08i
0.956313684191286+1.76000472176079e-08i
0.955733683260491-4.38203322525279e-09i
0.955415436239395+4.18580051360244e-08i
0.955093649874348+4.28925979949689e-08i
0.954962250257138+6.52904045298913e-08i
0.954918188913891+6.57856891002792e-08i
0.954955986122539+4.46898368304889e-08i
0.955188632511325+4.56595970128569e-08i
0.955410666710405+2.40036580695134e-09i
0.955897071965435+2.78417927893054e-08i
0.95633392426528-5.23965280709113e-09i
0.957026378455255+4.23500300353743e-08i
0.957694954103863+2.58315877336084e-08i
0.958535361212323+5.15070407663892e-08i
0.959427241202453+4.57264475877985e-08i
0.960376108392461+1.15569674532889e-08i
0.961463289883766+3.13767194098465e-08i
0.962513981079785-5.09795210475245e-08i
0.96375298521228+1.52110853317988e-08i
0.964914575471152-7.14008561501735e-08i
0.966246843092322+1.96888170706755e-08i
0.96751611158936-3.68601423102978e-08i
0.968879925351736+1.30303731793334e-08i
0.970231897131967+3.42089961129216e-09i
0.9715854761021-3.68766014190887e-08i
0.972983079052442+1.37672500244465e-08i
0.974314776148847-9.8476929343009e-08i
0.975717190385235+1.04050153827535e-08i
0.97702874653493-1.09665789986335e-07i
0.978392177477412+1.35420168244115e-08i
0.979674131224028-6.09527056543411e-08i
0.980957823088275+5.65041286726217e-09i
0.982184334959136-4.74616139884356e-09i
0.98336480075242-3.30002979893932e-08i
0.984507555495026+1.68082151224803e-08i
0.985583375008021-7.59851063182686e-08i
0.986622597683403+1.49737307642897e-08i
0.987598860319455-7.64297335742356e-08i
0.988522043532649+1.60746716469947e-08i
0.989391213714945-3.20723968206357e-08i
0.990191114132406+1.60165414550751e-08i
0.990933617130888+9.8179145648155e-09i
0.991612551025099-1.83713448095476e-09i
0.99221467690419+1.50160402376216e-08i
0.992784198550441-2.58787544364498e-08i
