radius,counts_1_clusters,counts_2_clusters,counts_3_clusters,counts_4_clusters
6.0718901505215e-10,1,15,207,2744
4.76619869497695e-10,1,13,172,2204
1.14375893439133e-09,1,4,44,411
1.18397360612473e-09,1,2,21,188
1.05979785808427e-09,1,7,70,753
1.03081254357909e-09,1,5,45,500
1.17966245172083e-09,1,5,49,527
1.18862883188992e-09,1,4,33,347
4.3502701065566e-10,0,0,0,0
1.1000611346648e-09,0,0,0,0
5.76408275443717e-10,0,0,0,0
1.19538508439749e-09,0,0,0,0
4.24356571764831e-10,0,0,0,0
1.12454368523415e-09,0,0,0,0
7.74112717890618e-10,0,0,0,0
7.88557860908127e-10,0,0,0,0
5.82453002395902e-10,0,0,0,0
8.74124991062492e-10,0,0,0,0
9.02213112296646e-10,0,0,0,0
1.15087901188613e-09,0,0,0,0
7.12236968992764e-10,0,0,0,0
6.86030975977033e-10,0,0,0,0
1.00773830928471e-09,0,0,0,0
1.12451033788045e-09,0,0,0,0
1.19757317104217e-09,0,0,0,0
5.07024161159998e-10,0,0,0,0
8.31098369629011e-10,0,0,0,0
1.18563168817302e-09,0,0,0,0
3.80740725428736e-10,0,0,1,18
4.4976160351902e-10,0,0,1,18
5.39825434747196e-10,0,0,1,18
4.9295385179548e-10,1,9,110,1381
3.17306634030869e-10,1,8,92,1175
5.03745471443665e-10,1,12,161,2120
4.15181285705413e-10,1,10,120,1563
1.06746077211296e-09,1,4,23,191
1.08764263432434e-09,1,4,37,412
1.07131671320856e-09,0,0,0,1
1.19325835425527e-09,0,0,0,1
1.02621026110637e-09,0,0,0,1
1.03466492160506e-09,1,6,53,512
1.16282522332464e-09,1,3,15,132
5.69979385592146e-10,0,0,1,15
4.96626116912915e-10,0,0,1,15
6.71436147373672e-10,0,0,1,15
6.39411057145558e-10,1,10,126,1571
5.22167118842234e-10,1,8,99,1264
7.29586526739632e-10,1,12,146,1747
8.21717408845644e-10,1,14,154,1638
1.16575276109474e-09,1,3,20,169
1.10017839462516e-09,1,2,14,133
1.11331644198763e-09,1,6,55,597
1.12342890295737e-09,1,6,50,494
1.19582084778616e-09,1,6,48,416
1.1885783524867e-09,0,0,0,0
1.0863836799216e-09,1,6,59,535
1.07595283353872e-09,1,6,59,535
9.29568448259729e-10,1,10,95,997
9.42414187074877e-10,1,5,56,638
4.04749922791839e-10,0,0,1,19
3.41991958969798e-10,0,0,1,19
4.92603796168889e-10,0,0,1,19
4.9859151617331e-10,1,7,73,762
6.13496943757668e-10,1,11,130,1445
6.53316538899789e-10,1,9,90,892
5.43041895253027e-10,1,8,80,858
1.15291001383456e-09,0,0,0,0
1.11674862883283e-09,0,0,0,0
1.02060202821668e-09,1,4,25,206
9.03468593809436e-10,1,8,70,628
9.86571082081773e-10,1,6,51,464
1.08628702468547e-09,1,5,33,285
7.53045483354093e-10,0,0,1,15
8.32492942913032e-10,0,0,1,15
6.87843368798449e-10,0,0,1,15
9.6268400838489e-10,1,6,53,516
8.39870525735961e-10,1,9,79,736
8.77888090817959e-10,1,10,105,1109
9.8643423501012e-10,1,5,50,538
1.1586183582181e-09,1,4,35,359
1.09041803910244e-09,1,3,28,314
7.57649325215829e-10,0,0,1,14
7.10107386245208e-10,0,0,1,14
8.15864265671686e-10,0,0,1,14
9.57837407914308e-10,1,5,33,284
9.1168333318099e-10,1,7,56,484
1.02301539577858e-09,1,3,18,139
1.05110061364267e-09,1,4,20,147
5.85946669928245e-10,0,0,1,25
5.62286848503502e-10,0,0,1,25
6.88515431925822e-10,0,0,1,25
3.95344786230956e-10,1,14,190,2600
5.55930301386784e-10,1,12,150,1891
4.87909315344563e-10,1,12,154,2038
4.91352724628652e-10,1,15,207,2746
1.19694423428997e-09,1,2,8,61
1.18331715951388e-09,1,5,32,279
8.00413955400579e-10,0,0,1,16
8.32674306076512e-10,0,0,1,16
9.43652743333055e-10,0,0,1,16
9.19574086194256e-10,1,9,65,516
1.02579749463527e-09,1,3,20,163
1.14064170535712e-09,1,3,14,103
1.03470019812504e-09,1,5,39,333
8.93655694325281e-10,0,0,1,11
9.55213850402097e-10,0,0,1,11
9.73315724726566e-10,0,0,1,11
8.07182445299698e-10,1,9,96,1050
6.95529654292324e-10,1,12,146,1744
6.24721938145284e-10,1,13,170,2083
6.95835109778172e-10,1,10,115,1337
1.05727739973954e-09,0,0,0,0
1.13201037981107e-09,0,0,0,0
1.17595556888855e-09,1,3,22,222
7.97513949721257e-10,0,0,1,21
7.61670204222274e-10,0,0,1,21
6.48260364359876e-10,0,0,1,21
5.86028582920663e-10,1,12,161,2082
7.48320452747351e-10,1,15,188,2279
7.16039454220227e-10,1,13,169,2147
5.38912330532528e-10,1,11,148,1953
5.78136229620666e-10,0,0,0,2
7.5878093017682e-10,0,0,0,2
7.13008064470522e-10,0,0,0,2
7.22183840860483e-10,1,10,102,1062
8.54429341724639e-10,1,11,119,1218
8.14405611473791e-10,1,11,118,1289
6.55437640054338e-10,1,13,174,2212
9.54984554848925e-10,0,0,1,11
1.10314255651752e-09,0,0,1,11
9.57694888782434e-10,0,0,1,11
1.13044968928299e-09,1,1,9,86
1.10184458976754e-09,1,2,21,189
8.72533953494074e-10,1,11,93,782
8.9540018985926e-10,1,10,94,911
1.10771499041947e-09,0,0,0,2
1.15673527654343e-09,0,0,0,2
9.20021467140849e-10,1,10,91,848
1.04980831583675e-09,1,4,25,210
1.10212862225786e-09,1,5,41,354
9.82587655122941e-10,1,6,54,467
1.15179012845223e-09,0,0,0,0
1.12210137688179e-09,0,0,0,0
1.18224933918358e-09,1,3,18,172
1.15952468710244e-09,1,2,18,179
6.06585937852173e-10,0,0,1,14
5.30432370807062e-10,0,0,1,14
4.42072957779596e-10,0,0,1,14
5.83565334816934e-10,1,10,118,1395
4.81426526066024e-10,1,10,115,1352
2.81171655754985e-10,1,7,78,979
4.32396230325844e-10,1,9,101,1200
9.39193004658787e-10,0,0,1,19
8.18640030782761e-10,0,0,1,19
7.77995179933655e-10,0,0,1,19
7.14580646253452e-10,1,13,170,2221
8.89041900024965e-10,1,7,52,527
9.61417963218912e-10,1,7,56,532
7.99378195849749e-10,1,7,75,892
1.14775411129736e-09,0,0,0,4
1.00759441244977e-09,1,7,61,656
1.10009840468933e-09,1,5,37,335
1.17508574155251e-09,1,3,14,133
5.81782175732464e-10,1,14,185,2309
8.6725861194917e-10,1,9,102,1178
1.12597491091054e-09,1,2,30,382
7.52438369569229e-10,1,13,163,1977
7.65194419739193e-10,1,11,110,1111
9.03428746498583e-10,1,10,96,961
1.08897727249011e-09,1,5,44,444
9.48805301418579e-10,1,7,78,869
6.82768994609451e-10,1,12,141,1663
1.10936400698779e-09,1,3,23,208
1.19544364149884e-09,1,2,14,102
8.82033162641859e-10,1,11,95,944
6.11021685376223e-10,1,13,173,2248
8.41276708342742e-10,1,12,131,1446
9.57941804077889e-10,1,13,132,1300
8.17547246341152e-10,1,12,118,1134
4.40799841197794e-10,1,14,191,2466
8.91693613299995e-10,1,9,81,864
1.19320639455209e-09,1,4,32,296
1.28734202914377e-09,0,0,0,0
1.20760154852501e-09,0,0,0,0
1.21172088370218e-09,0,0,0,0
1.2224784251675e-09,0,0,0,0
1.21919543142189e-09,0,0,0,2
1.26569091803647e-09,0,0,0,0
1.20267306446931e-09,0,0,0,4
1.28874260424648e-09,0,0,0,4
