time,signal
0,1.00000000000063-6.36235471027111e-31i
1e-07,0.857355445050812-5.79502090080934e-05i
2e-07,0.995787112478388+4.38407485981789e-06i
3e-07,0.936969550395109-3.07751363127221e-06i
4e-07,0.96040366883016+6.15228864948922e-05i
5e-07,0.934331978000831-9.45535659631909e-05i
6e-07,0.906957816217528+4.35683979607977e-06i
7e-07,0.878925164624854-0.00152187734461972i
8e-07,0.869939548611557-6.74287941937785e-05i
9e-07,0.876800640371184-0.00176931651750065i
1e-06,0.854562971058466-0.000316200382194879i
1.1e-06,0.89261984484082-8.7889255758114e-05i
1.2e-06,0.856014053465544-0.000726492247827697i
1.3e-06,0.853630390383224-0.000491079806621688i
1.4e-06,0.830511308381089+1.51255181852067e-05i
1.5e-06,0.767828726406263-0.0025597316933465i
1.6e-06,0.743424690814422+0.000407424490860233i
1.7e-06,0.685303900519065-0.00194519836850133i
1.8e-06,0.653255426370865-0.00118048310118692i
1.9e-06,0.629933879114066-0.000130142137560391i
2e-06,0.598341658865116-0.00115009443665835i
2.1e-06,0.578500703176551+0.000120187625255331i
2.2e-06,0.545224362177652+0.000990950325702453i
2.3e-06,0.511258036048006-0.000787446459708369i
2.4e-06,0.48343261157744+0.000705894349328172i
2.5e-06,0.446470329742667-0.00169151825769188i
2.6e-06,0.435979892281145-0.00092077331026245i
2.7e-06,0.4049874557124-0.00112562580461032i
2.8e-06,0.398925590535479-3.56320953524319e-05i
2.9e-06,0.380412460717669+0.000167193601781247i
3e-06,0.362352564158823+0.000976107694793561i
3.1e-06,0.350850980460191-0.000288922347725756i
3.2e-06,0.325610920085237+0.000340373282972048i
3.3e-06,0.305511584054543-0.0010305819934424i
3.4e-06,0.285366145315224+1.4113063855745e-05i
3.5e-06,0.267806683502855-0.000418947098713464i
3.6e-06,0.252346700653345-2.20938687298317e-05i
3.7e-06,0.245906626759219-6.45188384227514e-05i
3.8e-06,0.229303076131289-0.000162631127163721i
3.9e-06,0.216442448240767-7.82369714146978e-05i
4e-06,0.204559311940834-4.00205013729705e-05i
4.1e-06,0.179959034498496+0.000268974477129683i
4.2e-06,0.174326047356262+7.76334103919012e-05i
4.3e-06,0.15405777856974+0.000185846007955167i
4.4e-06,0.14613835350252-0.000105939703190928i
4.5e-06,0.134882762905954-0.000246421937095396i
4.6e-06,0.124112177402124-0.000123196276656203i
4.7e-06,0.114169631165796+4.55398870325528e-05i
4.8e-06,0.106315179894957+3.16497780123287e-06i
4.9e-06,0.0946448813316676+0.000461256196278628i
5e-06,0.0885923431159001+6.48311375203036e-05i
5.1e-06,0.0780606023793716+0.000135676700108221i
5.2e-06,0.0719764377739597+9.95396250391836e-05i
5.3e-06,0.0641933404853036-0.000212995889850518i
5.4e-06,0.0591643619051786+6.37004806993776e-05i
5.5e-06,0.0525974367267632-5.24452565172021e-05i
5.6e-06,0.0478872021239022+3.51616800940949e-06i
5.7e-06,0.0423678514944821+0.00013369879399377i
5.8e-06,0.0370484138864305+1.83899965089594e-05i
5.9e-06,0.0334794773598669+2.96792569832585e-05i
6e-06,0.0287553275378629+1.86112933950999e-05i
6.1e-06,0.0262625472359267-8.13626309799029e-05i
6.2e-06,0.0227725251948488-1.66154957529653e-06i
6.3e-06,0.0203433590737765-2.71555342647947e-05i
6.4e-06,0.0176154856578936+3.49999473225047e-06i
6.5e-06,0.0154930687448805+2.68086976119226e-05i
6.6e-06,0.0133821456408554-5.29191672724623e-06i
6.7e-06,0.011453667274671+4.73548050844766e-06i
6.8e-06,0.0100905791582003-7.018019143906e-06i
6.9e-06,0.008237202619166-1.10234322183226e-05i
7e-06,0.00731046666815527+6.13979830454385e-06i
7.1e-06,0.00593749801056376-5.76057876535214e-06i
7.2e-06,0.00510558202995013+6.87182864942495e-06i
7.3e-06,0.00426110394452818-1.61202199965972e-06i
7.4e-06,0.00358234124792893-4.04206814246443e-08i
7.5e-06,0.00292370739471623+2.20977796776967e-06i
7.6e-06,0.00248408881457207+2.29618097821812e-07i
7.7e-06,0.00197795514983208+2.92285135619714e-06i
7.8e-06,0.00169497289717052+1.0636800340053e-06i
7.9e-06,0.00138837733822457+1.01144514603178e-06i
8e-06,0.00115931068587507-3.06215441315969e-07i
8.1e-06,0.000954099840555393+6.72516740973762e-07i
8.2e-06,0.000788792983465959-1.47138596296825e-07i
8.3e-06,0.000632048415768831+1.18917495855329e-06i
8.4e-06,0.000533448051250111+1.32390365906484e-07i
8.5e-06,0.000430295140551896+9.52109324309061e-07i
8.6e-06,0.000356045702910056-1.32029112005896e-07i
8.7e-06,0.000294197815369545+4.0129140858879e-07i
8.8e-06,0.000233636205309377-2.4879009053482e-08i
8.9e-06,0.000192075963690812-5.32769683898242e-08i
9e-06,0.000153495916507094+1.46131053576766e-07i
9.1e-06,0.000122210420292578-5.12231702767142e-08i
9.2e-06,9.96589632690056e-05+1.08061174919092e-07i
9.3e-06,7.76581969771065e-05+1.11372899006594e-07i
9.4e-06,6.34165906006608e-05+4.97290810545308e-08i
9.5e-06,4.98544691821432e-05+4.44038161723996e-08i
9.6e-06,4.07047558294163e-05+1.92476299709266e-10i
9.7e-06,3.2356129618314e-05-2.64082963497628e-08i
9.8e-06,2.61595142430775e-05+1.59747801552357e-08i
9.9e-06,2.11251501639266e-05+1.1220975050457e-08i
