radius,counts_1_clusters,counts_2_clusters,counts_3_clusters
2.71128198459696e-10,0,0,0
2.68258271074724e-10,0,0,0
2.7528439839555e-10,0,0,0
2.59598728810447e-10,0,0,0
3.6687395655729e-10,0,0,1
2.6499150929794e-10,0,0,1
3.14962696203852e-10,0,0,1
2.64678106385852e-10,0,0,1
3.69615340590729e-10,0,0,1
3.08265307811308e-10,0,0,1
4.03290837981723e-10,1,11,146
3.48084041576169e-10,1,12,160
4.74516069274793e-10,1,15,204
3.95124663872049e-10,1,9,112
3.4515721055774e-10,1,9,120
4.02306475215103e-10,1,14,191
2.77558102025504e-10,0,0,1
3.72456037674246e-10,0,0,1
3.17604313572722e-10,0,0,1
3.63890780317391e-10,0,0,1
2.53626694178669e-10,0,0,1
2.91162325859648e-10,0,0,1
7.28937583061818e-11,1,0,0
1.15524477925676e-09,1,1,3
1.1147975152466e-09,1,3,11
7.70553372583626e-10,1,11,125
7.65295041144264e-10,1,15,186
1.00737852865743e-09,1,7,61
9.32910231479964e-10,1,11,120
9.76709526932138e-10,1,11,100
7.41101544999064e-10,1,12,146
7.03217249504021e-10,1,14,169
9.65190395725113e-10,1,11,125
8.29859325428111e-10,1,8,84
8.87179519601304e-10,1,7,85
8.04313060940826e-10,1,12,124
7.65134301936595e-10,1,11,126
7.93515910363491e-10,1,14,175
6.92786042007199e-10,1,11,131
5.27973010673841e-10,1,10,129
1.10007795178342e-09,1,5,37
1.13257074834202e-09,1,3,22
1.06070141887338e-09,1,8,73
1.15409120090225e-09,1,2,12
8.27895826780157e-10,1,12,123
7.88220464083495e-10,1,11,116
1.01090825498657e-09,1,8,61
1.0276047391872e-09,1,4,37
1.0816415764938e-09,1,4,38
1.12510377299163e-09,1,6,55
1.10642826247344e-09,1,3,29
6.67845416245407e-10,1,12,158
7.59556120375579e-10,1,7,81
8.46792477529176e-10,1,9,104
6.28158021520063e-10,1,13,174
6.74277020222401e-10,1,16,216
1.00370289428695e-09,1,8,73
9.34978876766743e-10,1,12,121
9.93074267111982e-10,1,8,74
7.93585219116385e-10,1,14,155
7.60125318615293e-10,1,9,91
1.08760631664219e-09,1,2,17
1.16569142572123e-09,1,0,0
1.19541645462993e-09,1,3,21
1.1579708545555e-09,1,6,41
1.03028952241591e-09,1,7,63
1.00610759861955e-09,1,7,65
1.1664765321257e-09,1,5,36
1.03145843348145e-09,1,6,51
8.71735338276475e-10,1,10,84
1.02807903392687e-09,1,7,59
9.73927358687495e-10,1,10,102
1.14092572063215e-09,1,3,25
1.07843474536015e-09,1,6,56
5.63596930438767e-10,1,13,168
5.53304165897926e-10,1,14,185
7.71432109780245e-10,1,13,160
8.47973171745427e-10,1,14,183
9.45525515255935e-10,1,10,117
1.19868198451466e-09,1,1,8
1.06000825468484e-09,1,3,32
1.17252356053087e-09,1,2,17
1.02533482336259e-09,1,6,50
1.00912164777097e-09,1,6,56
9.49615975013058e-10,1,8,81
7.80133642397251e-10,1,11,134
7.37487966003514e-10,1,11,141
1.16350096690978e-09,1,6,43
1.11546649434217e-09,1,4,34
1.07247261037287e-09,1,3,27
1.16435024799242e-09,1,1,13
1.02292155124428e-09,1,6,51
1.14444418824161e-09,1,4,20
1.0740030260665e-09,1,6,47
9.18515922562043e-10,1,6,62
1.15023845353909e-09,1,4,16
1.14813043684069e-09,1,3,11
1.07922263690121e-09,1,5,51
1.03010120861981e-09,1,7,62
8.35823845077418e-10,1,10,112
8.39151654946828e-10,1,12,148
8.52854911459153e-10,1,12,126
1.01285018635532e-09,1,9,90
1.14299103233577e-09,1,4,39
1.17487509974465e-09,1,4,31
1.04036123534088e-09,1,8,81
1.00666454194036e-09,1,10,110
1.03145358596497e-09,1,8,91
1.00199226543921e-09,1,10,118
8.70640281631857e-10,1,13,171
7.35047957619093e-10,1,16,225
1.06417503259567e-09,1,4,35
1.03104970782208e-09,1,6,44
1.04415683687845e-09,1,3,25
1.05840753020753e-09,1,2,28
1.14948966937507e-09,1,3,32
1.11766788448089e-09,1,5,47
1.08356933326853e-09,1,6,62
9.63245295861859e-10,1,7,73
7.38006436286297e-10,1,13,157
8.49801447398156e-10,1,9,99
1.18540436138897e-09,1,2,15
1.11874282120602e-09,1,3,24
8.85341459551059e-10,1,9,96
8.95936102632325e-10,1,10,111
9.68901181751782e-10,1,5,43
1.19909069715347e-09,1,1,6
1.05669082517073e-09,1,4,33
9.93924795947862e-10,1,5,33
1.15247841628379e-09,1,2,13
7.63048818883825e-10,1,12,130
8.36763108651427e-10,1,12,134
8.82232112315121e-10,1,10,101
6.8235144903488e-10,1,9,95
6.12982463044417e-10,1,12,158
1.12888772692416e-09,1,4,34
1.09925406526426e-09,1,5,32
1.11300381850199e-09,1,2,18
1.13966464365619e-09,1,0,0
1.03793087438422e-09,1,6,50
1.09761855851657e-09,1,3,24
9.46045717711359e-10,1,7,55
1.10826147636738e-09,1,5,43
1.19462734775326e-09,1,4,35
1.1665108229245e-09,1,6,54
9.16808322388056e-10,1,12,132
9.88719626587841e-10,1,10,102
1.08604719050325e-09,1,9,86
1.13506541661703e-09,1,2,14
1.06909237206146e-09,1,6,50
7.97517084456502e-10,1,13,170
8.831242834392e-10,1,10,99
8.05031365848561e-10,1,12,140
6.74832942290164e-10,1,13,165
5.42548154544829e-10,1,15,210
1.19257725116657e-09,1,2,9
