radius,counts_1_clusters,counts_2_clusters,counts_3_clusters
6.80129767029792e-10,1,9,102
7.23126890663043e-10,1,15,199
9.43200667938695e-10,1,6,52
8.88540094762189e-10,1,10,112
7.91729436108068e-10,1,11,123
1.08817530756767e-09,1,6,57
9.26357652313619e-10,1,9,103
8.91205644057532e-10,1,11,136
8.70419151903266e-10,1,12,142
8.12472461071758e-10,1,13,162
6.30045633267941e-10,1,15,208
7.54083881275817e-10,1,16,224
8.85148857537533e-10,1,9,90
7.83486758024665e-10,1,13,153
5.86692849794507e-10,1,12,171
5.43050181843262e-10,1,13,173
1.1710745065964e-09,1,2,26
1.17760710765518e-09,1,3,35
1.04693337896926e-09,1,9,92
9.37671317680135e-10,1,12,130
8.28183856399049e-10,1,15,177
1.12089540100761e-09,1,3,26
1.14957405155127e-09,1,2,24
1.11574257783774e-09,1,1,2
8.44019253334899e-10,1,10,98
8.04412518550029e-10,1,10,98
7.1263209301855e-10,1,13,154
5.98901911835319e-10,1,8,76
5.41443902911465e-10,1,12,143
9.63864876422002e-10,1,6,42
9.52018119575463e-10,1,9,81
1.13436039246793e-09,1,4,29
1.19848341665623e-09,1,2,10
1.1047164794643e-09,1,6,57
1.17321374864089e-09,1,3,35
1.16990918450964e-09,1,5,49
1.09902615983424e-09,1,4,29
9.78093809406849e-10,1,10,103
1.09069175297148e-09,1,1,8
1.16919994013e-09,1,2,16
1.0373492661587e-09,1,6,55
1.05160757890004e-09,1,7,43
1.07031934486862e-09,1,7,69
1.17549244999702e-09,1,4,37
9.54242893607283e-10,1,7,70
8.56118858570468e-10,1,12,152
8.84699666553571e-10,1,10,113
1.17780707248683e-09,1,3,16
1.11026280672641e-09,1,2,12
1.11885231375727e-09,1,5,32
1.03952849888784e-09,1,2,17
1.18540984473725e-09,1,3,31
1.05778045926364e-09,1,4,27
1.18044631389996e-09,1,1,2
1.15938971014927e-09,1,2,12
1.09366882555918e-09,1,3,31
1.03107637932405e-09,1,7,68
1.09267035285122e-09,1,2,16
1.08932295486692e-09,1,6,61
1.0593000047201e-09,1,6,52
6.91021345545852e-10,1,14,178
7.65399568852766e-10,1,12,154
6.85815937405949e-10,1,18,250
4.77670911821099e-10,1,14,206
3.92411136437283e-10,1,14,195
1.1512173991041e-09,1,3,35
1.16873756677879e-09,1,3,33
9.90180539093756e-10,1,12,120
1.09304780316325e-09,1,7,68
1.14051633043986e-09,1,2,13
1.01294792561118e-09,1,6,55
1.09111892110805e-09,1,3,21
1.09321841367588e-09,1,7,69
1.1363126770392e-09,1,4,39
1.03417914308886e-09,1,3,20
8.2076275500293e-10,1,9,107
1.09945509230709e-09,1,6,57
1.17734892873778e-09,1,4,38
8.63945310769148e-10,1,12,136
1.08271118032465e-09,1,5,45
1.06625161195658e-09,1,5,37
5.92885739413591e-10,1,16,230
6.92196865060801e-10,1,11,143
6.60737088409604e-10,1,10,132
1.10624974576268e-09,1,4,28
1.07774556366519e-09,1,6,56
9.59490229236338e-10,1,10,108
1.09394446842607e-09,1,2,21
1.00491168766215e-09,1,8,82
8.38528771122375e-10,1,13,137
1.11608265822922e-09,1,3,23
1.17788985053782e-09,1,4,35
1.05654413064481e-09,1,6,50
6.25787104373365e-10,1,14,184
7.88895747231534e-10,1,11,125
8.07495201224132e-10,1,11,121
1.15833868104281e-09,1,1,11
1.09611883479849e-09,1,6,49
7.83400599948711e-10,1,12,151
1.06241117275752e-09,1,3,17
1.02032274305731e-09,1,9,82
9.49198872734265e-10,1,8,77
8.09770646541353e-10,1,10,111
1.01281365512122e-09,1,7,57
7.91992108546544e-10,1,9,95
8.10800530340231e-10,1,13,163
1.06804424065673e-09,1,5,36
6.77839582792271e-10,1,15,191
7.9177301040134e-10,1,14,175
9.14049506317902e-10,1,13,149
1.07238169510674e-09,1,6,54
1.1800510582174e-09,1,4,26
9.4914250774054e-10,1,9,103
7.36490665249737e-10,1,12,160
1.19914698848807e-09,1,4,21
9.96903957259675e-10,1,6,67
1.06323398177447e-09,1,6,62
8.70121543234047e-10,1,10,105
9.23283542580501e-10,1,14,162
8.87703497796421e-10,1,8,71
1.040761019639e-09,1,5,39
1.14338860410623e-09,1,4,30
8.2036424836776e-10,1,13,155
6.41709825388392e-10,1,13,167
1.18412393777003e-09,1,5,54
8.12791793757787e-10,1,14,197
7.73580958917682e-10,1,13,164
1.13023647968025e-09,1,4,28
1.03318802741805e-09,1,4,33
1.19400481573568e-09,1,2,6
1.01944273993197e-09,1,7,60
7.7339543572483e-10,1,12,149
1.10931893520304e-09,1,6,53
1.03534945791264e-09,1,9,101
1.10461554397899e-09,1,4,32
1.08469511845495e-09,1,2,18
6.71098725971075e-10,1,13,168
7.35264238216438e-10,1,12,144
8.21947382744176e-10,1,9,79
1.11939604251578e-09,1,3,26
1.13872889662114e-09,1,5,51
9.27859094906118e-10,1,9,82
8.69118231312634e-10,1,10,97
8.6946449036174e-10,1,11,99
1.07832439460489e-09,1,5,36
1.10454130751186e-09,1,5,48
1.02443911483309e-09,1,10,103
1.11346598511135e-09,1,3,18
9.24625599905172e-10,1,9,81
7.32923938754902e-10,1,15,205
5.85159379998304e-10,1,10,122
8.37756229460575e-10,1,13,155
9.7300642341148e-10,1,10,106
7.05430010702692e-10,1,11,122
1.15899503881596e-09,1,7,57
1.19924080150735e-09,1,3,23
7.4250690232482e-10,1,11,149
6.16154607221272e-10,1,15,190
6.77712697239767e-10,1,16,212
8.11848815974994e-10,1,11,122
7.71805351108684e-10,1,11,139
5.73436570162734e-10,1,12,171
1.05027734432387e-09,1,8,85
9.83942833705292e-10,1,8,90
9.03109904718136e-10,1,15,163
9.64461766997531e-10,1,11,108
6.29188763408884e-10,1,13,163
4.30009883607342e-10,1,10,118
1.0802668651773e-09,1,4,28
1.04466860774123e-09,1,7,71
1.02534262566227e-09,1,3,26
1.13378635553617e-09,1,4,26
1.17396827044005e-09,1,5,48
1.05627434883178e-09,1,9,95
7.37536778743949e-10,1,13,170
9.76810882412763e-10,1,5,37
1.0955462108008e-09,1,6,50
1.15785210627264e-09,1,1,10
1.10734208806493e-09,1,4,37
5.72685341177858e-10,1,10,137
6.0718901505215e-10,1,15,207
4.76619869497695e-10,1,13,172
1.14375893439133e-09,1,4,44
1.18397360612473e-09,1,2,21
1.05979785808427e-09,1,7,70
1.03081254357909e-09,1,5,45
1.17966245172083e-09,1,5,49
1.18862883188992e-09,1,4,33
4.3502701065566e-10,0,0,0
1.1000611346648e-09,0,0,0
5.76408275443717e-10,0,0,0
1.19538508439749e-09,0,0,0
4.24356571764831e-10,0,0,0
1.12454368523415e-09,0,0,0
7.74112717890618e-10,0,0,0
7.88557860908127e-10,0,0,0
5.82453002395902e-10,0,0,0
8.74124991062492e-10,0,0,0
9.02213112296646e-10,0,0,0
1.15087901188613e-09,0,0,0
7.12236968992764e-10,0,0,0
6.86030975977033e-10,0,0,0
1.00773830928471e-09,0,0,0
1.12451033788045e-09,0,0,0
1.19757317104217e-09,0,0,0
5.07024161159998e-10,0,0,0
8.31098369629011e-10,0,0,0
1.18563168817302e-09,0,0,0
3.80740725428736e-10,0,0,1
4.4976160351902e-10,0,0,1
5.39825434747196e-10,0,0,1
4.9295385179548e-10,1,9,110
3.17306634030869e-10,1,8,92
5.03745471443665e-10,1,12,161
4.15181285705413e-10,1,10,120
1.06746077211296e-09,1,4,23
1.08764263432434e-09,1,4,37
1.07131671320856e-09,0,0,0
1.19325835425527e-09,0,0,0
1.02621026110637e-09,0,0,0
1.03466492160506e-09,1,6,53
1.16282522332464e-09,1,3,15
5.69979385592146e-10,0,0,1
4.96626116912915e-10,0,0,1
6.71436147373672e-10,0,0,1
6.39411057145558e-10,1,10,126
5.22167118842234e-10,1,8,99
7.29586526739632e-10,1,12,146
8.21717408845644e-10,1,14,154
1.16575276109474e-09,1,3,20
1.10017839462516e-09,1,2,14
1.11331644198763e-09,1,6,55
1.12342890295737e-09,1,6,50
1.19582084778616e-09,1,6,48
1.1885783524867e-09,0,0,0
1.0863836799216e-09,1,6,59
1.07595283353872e-09,1,6,59
9.29568448259729e-10,1,10,95
9.42414187074877e-10,1,5,56
4.04749922791839e-10,0,0,1
3.41991958969798e-10,0,0,1
4.92603796168889e-10,0,0,1
4.9859151617331e-10,1,7,73
6.13496943757668e-10,1,11,130
6.53316538899789e-10,1,9,90
5.43041895253027e-10,1,8,80
1.15291001383456e-09,0,0,0
1.11674862883283e-09,0,0,0
1.02060202821668e-09,1,4,25
9.03468593809436e-10,1,8,70
9.86571082081773e-10,1,6,51
1.08628702468547e-09,1,5,33
7.53045483354093e-10,0,0,1
8.32492942913032e-10,0,0,1
6.87843368798449e-10,0,0,1
9.6268400838489e-10,1,6,53
8.39870525735961e-10,1,9,79
8.77888090817959e-10,1,10,105
9.8643423501012e-10,1,5,50
1.1586183582181e-09,1,4,35
1.09041803910244e-09,1,3,28
7.57649325215829e-10,0,0,1
7.10107386245208e-10,0,0,1
8.15864265671686e-10,0,0,1
9.57837407914308e-10,1,5,33
9.1168333318099e-10,1,7,56
1.02301539577858e-09,1,3,18
1.05110061364267e-09,1,4,20
5.85946669928245e-10,0,0,1
5.62286848503502e-10,0,0,1
6.88515431925822e-10,0,0,1
3.95344786230956e-10,1,14,190
5.55930301386784e-10,1,12,150
4.87909315344563e-10,1,12,154
4.91352724628652e-10,1,15,207
1.19694423428997e-09,1,2,8
1.18331715951388e-09,1,5,32
8.00413955400579e-10,0,0,1
8.32674306076512e-10,0,0,1
9.43652743333055e-10,0,0,1
9.19574086194256e-10,1,9,65
1.02579749463527e-09,1,3,20
1.14064170535712e-09,1,3,14
1.03470019812504e-09,1,5,39
8.93655694325281e-10,0,0,1
9.55213850402097e-10,0,0,1
9.73315724726566e-10,0,0,1
8.07182445299698e-10,1,9,96
6.95529654292324e-10,1,12,146
6.24721938145284e-10,1,13,170
6.95835109778172e-10,1,10,115
1.05727739973954e-09,0,0,0
1.13201037981107e-09,0,0,0
1.17595556888855e-09,1,3,22
7.97513949721257e-10,0,0,1
7.61670204222274e-10,0,0,1
6.48260364359876e-10,0,0,1
5.86028582920663e-10,1,12,161
7.48320452747351e-10,1,15,188
7.16039454220227e-10,1,13,169
5.38912330532528e-10,1,11,148
5.78136229620666e-10,0,0,0
7.5878093017682e-10,0,0,0
7.13008064470522e-10,0,0,0
7.22183840860483e-10,1,10,102
8.54429341724639e-10,1,11,119
8.14405611473791e-10,1,11,118
6.55437640054338e-10,1,13,174
9.54984554848925e-10,0,0,1
1.10314255651752e-09,0,0,1
9.57694888782434e-10,0,0,1
1.13044968928299e-09,1,1,9
1.10184458976754e-09,1,2,21
8.72533953494074e-10,1,11,93
8.9540018985926e-10,1,10,94
1.10771499041947e-09,0,0,0
1.15673527654343e-09,0,0,0
9.20021467140849e-10,1,10,91
1.04980831583675e-09,1,4,25
1.10212862225786e-09,1,5,41
9.82587655122941e-10,1,6,54
1.15179012845223e-09,0,0,0
1.12210137688179e-09,0,0,0
1.18224933918358e-09,1,3,18
1.15952468710244e-09,1,2,18
6.06585937852173e-10,0,0,1
5.30432370807062e-10,0,0,1
4.42072957779596e-10,0,0,1
5.83565334816934e-10,1,10,118
4.81426526066024e-10,1,10,115
2.81171655754985e-10,1,7,78
4.32396230325844e-10,1,9,101
9.39193004658787e-10,0,0,1
8.18640030782761e-10,0,0,1
7.77995179933655e-10,0,0,1
7.14580646253452e-10,1,13,170
8.89041900024965e-10,1,7,52
9.61417963218912e-10,1,7,56
7.99378195849749e-10,1,7,75
1.14775411129736e-09,0,0,0
1.00759441244977e-09,1,7,61
1.10009840468933e-09,1,5,37
1.17508574155251e-09,1,3,14
5.81782175732464e-10,1,14,185
8.6725861194917e-10,1,9,102
1.12597491091054e-09,1,2,30
7.52438369569229e-10,1,13,163
7.65194419739193e-10,1,11,110
9.03428746498583e-10,1,10,96
1.08897727249011e-09,1,5,44
9.48805301418579e-10,1,7,78
6.82768994609451e-10,1,12,141
1.10936400698779e-09,1,3,23
1.19544364149884e-09,1,2,14
8.82033162641859e-10,1,11,95
6.11021685376223e-10,1,13,173
8.41276708342742e-10,1,12,131
9.57941804077889e-10,1,13,132
8.17547246341152e-10,1,12,118
4.40799841197794e-10,1,14,191
8.91693613299995e-10,1,9,81
1.19320639455209e-09,1,4,32
1.28734202914377e-09,0,0,0
1.20760154852501e-09,0,0,0
1.21172088370218e-09,0,0,0
1.2224784251675e-09,0,0,0
1.21919543142189e-09,0,0,0
1.26569091803647e-09,0,0,0
1.20267306446931e-09,0,0,0
1.28874260424648e-09,0,0,0
