signal_0,signal_1
1+0i,0.9819694573890874+0.11938743322140905i
1+0i,0.7005831853653537-0.6980802092767435i
1+0i,-0.11582636903889995-0.9820026149335898i
1+0i,-0.8434379142154983-0.515719089422129i
1+0i,-0.9265066185473957+0.3443032100947362i
1+0i,-0.3018413669697796+0.9409852484568001i
1+0i,0.5531257299902355+0.8186649662860016i
1+0i,0.9852436517160689+0.07107053024694723i
1+0i,0.6646199925737434-0.7304989652131174i
1+0i,-0.16352710420708444-0.97375381289394i
1+0i,-0.866416884302029-0.4731228677615742i
1+0i,-0.9072123480850471+0.38867958888685883i
1+0i,-0.25503622168311685+0.9532271175454625i
1+0i,0.5916605423994293+0.7894297348339093i
1+0i,0.9860619929968499+0.02271767284977949i
1+0i,0.6271120340112936-0.7610088318861505i
1+0i,-0.21068073456897937-0.9631115887029562i
1+0i,-0.8871760229726599-0.4294789072570173i
1+0i,-0.8857234781554141+0.4319574516259625i
1+0i,-0.207739697526269+0.9630650048299859i
1+0i,0.6286084914883354+0.7583236733168923i
1+0i,0.9844293924303066-0.02554264111225374i
1+0i,0.5881633996200402-0.789534346125385i
1+0i,-0.2571636538653154-0.9501112189233394i
1+0i,-0.9056667680094677-0.38490619589793595i
1+0i,-0.862103608528181+0.47402515182611527i
1+0i,-0.16007886098176793+0.9704800061859888i
1+0i,0.6638762687092622+0.7254350433391568i
1+0i,0.9803576617087937-0.07358254307630996i
1+0i,0.547881943115098-0.8160058609504054i
1+0i,-0.3028545078664659-0.9347945301947796i
1+0i,-0.921847099233012-0.3395259927594615i
1+0i,-0.8364221628820808+0.5147747871959214i
1+0i,-0.11218142774248269+0.9754601092310635i
1+0i,0.6973755857281555+0.6908568704915972i
1+0i,0.9738654580481454-0.12127517310035535i
1+0i,0.506378949652784-0.8403597363745109i
1+0i,-0.347634549529379-0.9172097555175747i
1+0i,-0.9356816445767089-0.29346145992772354i
1+0i,-0.8087541646916663+0.5541025101919653i
1+0i,-0.06417538012182389+0.978000208630561i
1+0i,0.7290234225262455+0.6546866528155026i
1+0i,0.9649782079192866-0.16849505492203742i
1+0i,0.4637687937179888-0.8625385108186411i
1+0i,-0.3913879849318692-0.8974113708800905i
1+0i,-0.9471417650066953-0.24683728955660808i
1+0i,-0.7791799962342747+0.5919088249310885i
1+0i,-0.016188584784471494+0.9781020997078204i
1+0i,0.7587422582339419+0.6170260561355259i
1+0i,0.9537280097970344-0.21511846553105796i
1+0i,0.4201685883850694-0.8824910526318188i
1+0i,-0.43400230887610364-0.8754599128277342i
1+0i,-0.956205618074105-0.19977932729652936i
1+0i,-0.7477851415620088+0.6280988695287963i
1+0i,0.031651587947448406+0.975774450448406i
1+0i,0.7864602839936456+0.5779805973046817i
1+0i,0.9401535163128885-0.2610237980585522i
1+0i,0.3756978271323079-0.9001726912846095i
1+0i,-0.47536862909243105-0.8514217776346316i
1+0i,-0.962858199960918-0.15241419334404047i
1+0i,-0.7146599143358066+0.6625826829843644i
1+0i,0.07921864196751799+0.9710327520619657i
1+0i,0.8121115972122344+0.5376593164420522i
1+0i,0.9242997962680108-0.30609191681398823i
1+0i,0.3304780194115272-0.9155453278733744i
1+0i,-0.5153819780175314-0.8253690028001901i
1+0i,-0.9670913659549163-0.10486890236496843i
1+0i,-0.6798991714675485+0.6952754557894423i
1+0i,0.1263873292064212+0.9638992483383633i
1+0i,0.8356363766303266+0.49617443927792426i
1+0i,0.9062181770301955-0.3502065033314382i
1+0i,0.28463232119142984-0.9285775246456194i
1+0i,-0.5539416111674789-0.7973790316507092i
1+0i,-0.9689038293636371-0.05727048354287606i
1+0i,-0.6436020135613099+0.726097763496009i
1+0i,0.17303401818909214+0.954402844106755i
1+0i,0.8569810377034524+0.4536410307507128i
1+0i,0.8859660679039794-0.39325439232221204i
1+0i,0.23828516170591585-0.9392445733298235i
1+0i,-0.5909512911760101-0.7675344618813251i
1+0i,-0.9683011389513008-0.009745601999446352i
1+0i,-0.6058714731864298+0.7549757825409811i
1+0i,0.21903705613789645+0.9425789931768161i
1+0i,0.8760983678598697+0.41017664102566065i
1+0i,0.8636067651260928-0.43512589646990224i
1+0i,0.19156186764670663-0.9475285421268467i
1+0i,-0.6263195566212713-0.7359227789252732i
1+0i,-0.9652956350559436+0.03757981717635056i
1+0i,-0.5668141920525647+0.7818414876884975i
1+0i,0.2642771234591329+0.9284695662101867i
1+0i,0.8929476412706117+0.3659009451265206i
1+0i,0.8392092391987841-0.4757151190465361i
1+0i,0.14458828604328353-0.9534183012937366i
1+0i,-0.6599599748201592-0.7026360750859272i
1+0i,-0.9599063846166422+0.0845809610675729i
1+0i,-0.526540088190599+0.8066328305167443i
1+0i,0.30863757948120385+0.912122699037215i
1+0i,0.9074947128391604+0.3209353773882254i
1+0i,0.8128479053311036-0.5149202533746738i
1+0i,0.09749040707229589-0.9569095273245759i
1+0i,-0.6917913778278664-0.6677707554117701i
1+0i,-0.9521590954118826+0.13113449603282384i
1+0i,-0.485162014272593+0.8292938984435947i
1+0i,0.35200479834773596+0.8935926219987933i
1+0i,0.9197120911906821+0.2754027619510041i
1+0i,0.7846023778127595-0.5526438682097294i
1+0i,0.05039398803330988-0.9580046858062811i
1+0i,-0.7217380809412841-0.6314272313355703i
1+0i,-0.9420860098801588+0.17711892859236494i
1+0i,-0.44279540822930846+0.8497750538543603i
1+0i,0.3942684940076613+0.8729394709555536i
1+0i,0.9295789905137719+0.2294269405244645i
1+0i,0.7545572091963805-0.588793178169222i
1+0i,0.0034241797180853406-0.9567129931000267i
1+0i,-0.7497300830680256-0.5937096031362241i
1+0i,-0.9297257789620503+0.22241495894196822i
1+0i,-0.39955793734481254+0.8680330529651953i
1+0i,0.4353220332866002+0.850229080666441i
1+0i,0.937081361180722+0.18313239865361272i
1+0i,0.7228016152119797-0.6232802983911037i
1+0i,-0.04329484361347601-0.9530503570707485i
1+0i,-0.7757032483880545-0.5547253323149269i
1+0i,-0.9151233164693147+0.2669058259705235i
1+0i,-0.3555691370242338+0.8840311441267437i
1+0i,0.4750627360695563+0.8255327612956126i
1+0i,0.9422118991453662+0.1366438917180003i
