T_zz
33632940594.3614
-51092974.6007253
-51092974.6007253
-51092974.6007253
-51092974.6007253
-51092974.6007253
-51092974.6007253
-51092974.6007253
-51092974.6007253
-51092974.6007253
-51092974.6007253
-51092974.6007253
-51092974.6007253
-51092974.6007253
-51092974.6007253
-51092974.6007253
-51092974.6007253
-51092974.6007253
-51092974.6007253
-3691774.38007034
