signal_0,signal_1
0.9999953073524749+0.003063536895055603i,0.9904953749984419+0.0031398517555393745i
-0.5199821195182008+0.8541769389976589i,-0.5150377775288979+0.8458511059026739i
-0.46195596850012804-0.8869014765531056i,-0.4573020956168727-0.8781995607037411i
0.9979802885820841+0.06352430547099161i,0.9879408126661587+0.06299385961834705i
-0.5706799326589965+0.8211724098837965i,-0.5649249760413141+0.8127005406292609i
-0.4074826020143738-0.9132115992298075i,-0.4031310528955597-0.9037308367988621i
0.9923130906246648+0.12375260378324748i,0.9817594021713868+0.12254863349396976i
-0.6192893018122334+0.7851627436103391i,-0.6126795848897365+0.7766019852520165i
-0.3515180237304434-0.9361797579529813i,-0.34754139937649553-0.9259123241515084i
0.9830144529925021+0.1835280221086879i,0.9719781970249245+0.1815838185299745i
-0.6656323375489045+0.7462797201012753i,-0.6581270971807966+0.7376926141459337i
-0.2942670399860655-0.9557218991191393i,-0.29074078855949126-0.9446657239530079i
0.9701184047085548+0.2426318080705634i,0.9586376732831748+0.23988125592236087i
-0.7095394442476456+0.7046656345348921i,-0.7011018315605217+0.6961199470445681i
-0.23593916481085697-0.9717665068786792i,-0.2329411558468116-0.9599256412785058i
0.9536721397748357+0.3008476671783238i,0.9417915613917472+0.2972258025545205i
-0.7508499407419229+0.6604727766044943i,-0.7414475462728815+0.6520412809322115i
-0.1767478531948915-0.9842548648532002i,-0.1743579147407444-0.9716398162679244i
0.9337358444626203+0.35796255437262714i,0.9215066278593885+0.3534061382153107i
-0.7894126483441422+0.6138628732034848i,-0.779018016621447+0.6056230854546781i
-0.1169097199350485-0.9931412710122501i,-0.11520914078333186-0.9797693051181277i
0.9103824770565231+0.4137674536788203i,0.8978624076580037+0.4082155573188608i
-0.825086444094762+0.565006496574346i,-0.8136775736657156+0.5570403642080414i
-0.05664374691782248-0.998393204923141i,-0.05571474637972133-0.9842886102531245i
0.8836975008584882+0.46805814311570293i,0.8709508884336853+0.46145274211139486i
-0.8577407772117597+0.5140824400874362i,-0.8453016021355273+0.5064759843944074i
0.0038295182604006217-0.9999914467617758i,0.003904350322507681-0.9851857592363165i
0.8537785714287843+0.5206359420603297i,0.8408761477983149+0.5129225144263454i
-0.8872561468504627+0.4612770639339902i,-0.8737769957074698+0.45411997745190685i
0.06428876940288986-0.9979301476489553i,0.06342705930674265-0.9824623321874296i
0.8207351792085643+0.571308438333821i,0.8077539451514614+0.5624365631349661i
-0.9135245394253542+0.4067836131278009i,-0.8990025679538224+0.40016881337598464i
0.1245127515982718-0.9922168510547684i,0.12263295211503071-0.9761334376653772i
0.7846882488318423+0.6198901923473596i,0.7717112696551458+0.6098141445373196i
-0.936449823893438+0.3508015103114037i,-0.9208894174480358+0.34482465154630826i
