T_zz
33632940594.3614
-7843083.5085124
-7843083.5085124
-7843083.5085124
-7843083.5085124
-7843083.5085124
-7843083.5085124
-7843083.5085124
-7843083.5085124
-7843083.5085124
-7843083.5085124
-7843083.5085124
-7843083.5085124
-7843083.5085124
-7843083.5085124
-7843083.5085124
-7843083.5085124
-7843083.5085124
-7843083.5085124
-3691774.38007034
