signal_0,signal_1,signal_2
-0.44503225667420687+0.2279154237975474i,-0.3687276505887396+0.18842509554438372i,-0.20513719677056041+0.10405882670327576i
0.2796512755938654+0.4144815442571227i,0.22901487080830357+0.3397794798535921i,0.12600491254195292+0.1903643321233325i
0.37794365011507813-0.3273480552093568i,0.30659836973207366-0.26537204804358194i,0.17139684949331654-0.14519911907904948i
-0.37032057896613885-0.33594656671407075i,-0.2966426173409483-0.2696050569234669i,-0.1633857200291196-0.14988428344846688i
-0.2891016535718324+0.40794584681936585i,-0.22915175552217615+0.32263018725980336i,-0.128205279695543+0.17906381841723482i
0.4396778610079632+0.23808187279988385i,0.34336404307712615+0.18618701256166195i,0.1900725525626142+0.10551803536500097i
0.18362208931050333-0.4650595578588337i,0.141810770938091-0.358427202179102i,0.08028172209515409-0.1975467478494316i
-0.4837287178129403-0.1265094067692673i,-0.3673901759951333-0.09659011946066194i,-0.20334768879260876-0.05416809105624297i
-0.06757306931995699+0.4954126158959573i,-0.05097431391033382+0.37046413897565283i,-0.029497497950152253+0.20626628878686268i
0.49994048977695693+0.007661118015021411i,0.3680796151499589+0.005922365252129461i,0.20448228554479733+0.005496162423156386i
-0.05236371794658168-0.49724755292569467i,-0.03752371082995489-0.3602439649314385i,-0.019276398715839773-0.19930275198090439i
-0.4873774963189751+0.11163336466634595i,-0.34694909707737986+0.07887958497696873i,-0.1926902335864983+0.04326739095808804i
0.16928809312218918+0.4704692971776029i,0.11782215339676513+0.32877426601948617i,0.06435415469031373+0.18371592288340377i
0.44676541713925955-0.22449766087715972i,0.3064800376495167-0.15359942528645293i,0.17088029027105242-0.08335364019104145i
-0.2764679877813981-0.41660850191647913i,-0.18543168260334722-0.2804027318123417i,-0.1017038193367317-0.15559719334472383i
-0.3804389972990447+0.3244465430232821i,-0.25083445278069555+0.21309986392475525i,-0.1398518756749371+0.11808386305428525i
0.3677374295471145+0.33877559354532255i,0.23656802582518027+0.2185747377680148i,0.13067305214658717+0.12292177133556419i
0.29221820322358605-0.4057170425364404i,0.18454586742574955-0.25543200124629006i,0.1035512156442926-0.14040078566713757i
-0.43784088758126966-0.2414396119700162i,-0.2692896217283928-0.14923274863596123i,-0.14875525248151908-0.0831492664280458i
-0.18717783998161144+0.46364227325443197i,-0.11303555449048905+0.278271241584307i,-0.06360757001226454+0.15470327404824924i
0.48274627741866033+0.13021314353630659i,0.2826828918420399+0.0767713575152728i,0.1567701904045532+0.04430341892196671i
0.07136600656359665-0.49487788527783927i,0.04131717519867565-0.2824968081359874i,0.024122841437238116-0.15600520855163552i
-0.49986649320921306-0.011487152710224813i,-0.27768797464910755-0.007103325067824528i,-0.15393875430429352-0.004347547140529905i
0.048554524220251305+0.49763668777944825i,0.025560323995733637+0.26870467485896476i,0.0133431506412892+0.14981401983092757i
0.4882188346909511-0.10789469894786487i,0.2561357249655722-0.056031196549194605i,0.1424812275050744-0.02957364806109637i
-0.16567924395787179-0.47174936559965724i,-0.08365772873083499-0.24024767090732294i,-0.04540753074560494-0.13305580006146836i
-0.4484710359404932+0.2210720740962332i,-0.22128736012194727+0.1082263248528272i,-0.12304667359602403+0.05978787327519391i
0.2732698183099004+0.41871636690473457i,0.1296609527901947+0.19989330144819129i,0.07133498564256974+0.11190634389665446i
0.3829133641071988-0.3215206548062176i,0.17679154053884413-0.14761778000564668i,0.0987380136577095-0.0807393623027635i
-0.36513137407679847-0.3415794038341642i,-0.1617720278026204-0.1523852311105611i,-0.08906537527667771-0.0846287472128168i
-0.29531627662015253+0.40346978445209924i,-0.12702464390256707+0.17220178234479636i,-0.07096892575293766+0.09552724098434306i
0.4359795667067966+0.2447885335010372i,0.17911416137370847+0.1013619217571838i,0.09907846569920024+0.0573244946291785i
0.1907239465625591-0.4621924476955696i,0.07608042555493236-0.18248859192855052i,0.04295741853234928-0.10048495484692122i
-0.48173418480034463-0.13390389758765148i,-0.18232555029462788-0.05154208712212904i,-0.10080896489340105-0.028822360785479017i
-0.07515342226898727+0.49431947087419337i,-0.028026888731127325+0.17896683538936795i,-0.016092535674915368+0.09952248259813824i
0.4997645109044808+0.01531785828517207i,0.17285053988890742+0.006034101754721634i,0.09588744987291006+0.004356193155104343i
-0.044741147028379336-0.49799128763917866i,-0.013950903314147962-0.16420533879052207i,-0.007049845981501092-0.09070034239053999i
-0.48903019983040075+0.1041550490489062i,-0.15326214364797067+0.03174766721846682i,-0.08496905319235387+0.01738419359049681i
0.16206201176500085+0.47300710690562214i,0.047270135767986846+0.14051314045386754i,0.025760186379916904+0.07836051660320098i
0.4501516837522072-0.21762817500930506i,0.1264989282497537-0.06027649159803962i,0.07037547907909779-0.03262447213434682i
-0.27005428405489956-0.42079432619599455i,-0.07056269534945925-0.11155702664765903i,-0.03861253393414015-0.061760480681163604i
-0.3853639346762363+0.318581251567549i,-0.09599908109315568+0.07819051389606926i,-0.053388389461349044+0.04323047907519398i
0.36250523614306934+0.34436852249813604i,0.08330570968895681+0.08031274086181005i,0.04589826139544797+0.04503381238075672i
0.2983983627574254-0.401193515002641i,0.0649845635685421-0.08593781401103241i,0.03634820471786636-0.04710475793151468i
-0.4340913368433949-0.24811775156933233i,-0.0861541915517141-0.050305658380689414i,-0.04745609525522129-0.027941312655723104i
-0.19425753032408172+0.46072085560895715i,-0.036517629420297154+0.08422664013417064i,-0.02047159769681603+0.046686228501149736i
0.48069517004742446+0.1375921418146207i,0.08047951700380052+0.023961944167825114i,0.04448914415805925+0.01374062886960035i
0.07893776499667846-0.49372671605736396i,0.012941287687156229-0.07513965235133058i,0.007474233230598467-0.0413554174920746i
-0.4996318781225779-0.019142320655828743i,-0.06845338858337768-0.0035837254174633897i,-0.03781704930814892-0.0020822538652640063i
0.04092648077775091+0.49832202108786494i,0.0040400001786041065+0.06079590172679011i,0.0020410641374951867+0.03377315369790753i
0.489814214866627-0.1004039449462769i,0.05255159236009503-0.009815498908945923i,0.02912048222880246-0.00511483895293287i
-0.158433938000426-0.4742317579360371i,-0.01368419234612771-0.04401500119731725i,-0.007379702038718598-0.024281555792559504i
-0.45180459126895384+0.21417685501116926i,-0.03547483178149169+0.01572173693220977i,-0.01964735503945042+0.008644392050026017i
0.2668242443549945+0.42285294728466416i,0.01604813276286025+0.027271824305982323i,0.008781879372283377+0.015201015630039812i
0.3877932359831807-0.3156178163433276i,0.01971382204031033-0.01477223957986044i,0.010958051878053758-0.008033537408810925i
-0.35985649906730965-0.3471320965504615i,-0.012053796206770733-0.013028080616746391i,-0.006602558840907639-0.007202249237992898i
-0.3014616101245863+0.3988990570922054i,-0.007416686671649409+0.008128356618590762i,-0.004122994352126589+0.004486194684468993i
0.4321789794728303+0.25143776027314707i,0.003245098993336334+0.003069256041754734i,0.0017804382810337326+0.0017171577389424651i
0.1977810547159684-0.45921689393198684i,0.00011392778230596065+0.00234491123881844i,0.00005066369085333616+0.0012909262758525385i
-0.4796266233840343-0.14126697048965742i,0.008360115489984412+0.0013802178968801435i,0.004602586664549265+0.0007755188440396181i
-0.08271614204298447+0.4931103449801277i,0.001372708093564884-0.01451070821603633i,0.0008024731681013869-0.008034461744422041i
0.49947127336570496+0.02297100487047002i,-0.020531880587655715+0.00012142845907980582i,-0.01134273125151381-0.000055786286037998243i
-0.03710807850627432-0.498618179342343i,0.0030176650079739528+0.0261531017036694i,0.0015485557337645596+0.014382356277543796i
-0.4905681630887413+0.09665229605475911i,0.031097533416036178-0.007210728338287995i,0.017160877747826556-0.003927845881550237i
0.15479790620143002+0.47543393623854324i,-0.012582201614527465-0.035143868877163746i,-0.006826249970953052-0.019511479165566132i
0.4534323322569633-0.21070762716581815i,-0.03812956741570021+0.018938333476136885i,-0.021122453395498043+0.010202350715198512i
-0.2635772179551526-0.4248814200333908i,0.026027609014056707+0.03987965727583264i,0.014166980974002494+0.021982530978955302i
-0.3901984548081741+0.31264121234536624i,0.04022871152200969-0.03362950580756235i,0.02227463522289736-0.018495876857242462i
0.3571879889410098+0.34988065326885287i,-0.041539858406606456-0.03911475037407715i,-0.022774594480680217-0.02184442312071262i
0.3045085097603495-0.3965758559257322i,-0.03655282995226309+0.04947653912468249i,-0.020370980988336625+0.026986762256915625i
-0.4302399360476463-0.2547376754848323i,0.05712311624386345+0.03252709046300817i,0.0313081763054866+0.01800179567862314i
-0.20129164233357782+0.45769134026687885i,0.027030936882245112-0.06424948939878973i,0.01510406249151903-0.03544169854153814i
0.4785312782110797+0.1449388574382292i,-0.07067488568319277-0.020186620433848577i,-0.03889177420604091-0.011559473480998601i
0.08649100249864375-0.4924597044144442i,-0.012191774925241587+0.07614427216193814i,-0.007059615697686584+0.04172046005320547i
-0.4992800353323479-0.026792996963630265i,0.08039173783991806+0.0031806793302339626i,0.044213185256027736+0.0018945907667980086i
0.033288834915495974+0.4988904344136525i,-0.006720045813612172-0.08328439474661237i,-0.0034160783367711634-0.04606971654465908i
0.49129467099400154-0.09288963305499533i,-0.08476331901175839+0.01725101253063199i,-0.04678637484836934+0.008970043129920351i
-0.15115145892760753-0.47660288191288824i,0.02809574725244996+0.08469432245326602i,0.01507831865405181+0.04654395047419495i
-0.45503214051418944+0.20723138435377664i,0.08294516324123974-0.03904232579023748i,0.04576436523298309-0.02135990754845317i
0.2603160660412345+0.426890314839355i,-0.049913432839987275-0.07954495172399154i,-0.027206651649539126-0.044191177242439095i
0.39258212078847593-0.3096409247918336i,-0.07460485204353004+0.060408753626933306i,-0.041358919337104595+0.032737317262506005i
-0.35449719157101434-0.3526033420458101i,0.07019660111792697+0.0681484081447181i,0.03830252754323874+0.037575445070541245i
-0.30753621221786176+0.3942347371602755i,0.06019815190449967-0.07908968900146443i,0.03339241959602192-0.0434986146609848i
0.4282769910302234+0.2580279930214755i,-0.08696169549402696-0.05094445791917162i,-0.047703340553175134-0.028608092171390237i
0.20479175797560287-0.45613359471629633i,-0.04064977627825303+0.09357586634401609i,-0.022804948132254952+0.05110250213038628i
-0.4774065280569172-0.1485968978922616i,0.0986861408117933+0.02946540040527548i,0.054122710182629714+0.01638927114894215i
